text_a,text_b,is_true,explanation,difficulty,is_active
Mercedes Benz noire immatriculée AA-456-BB,Mercedes Benz blanche immatriculée AA-456-BB,false,"La couleur du véhicule diffère : « noire » dans text_a, « blanche » dans text_b. Les mots sont similaires en longueur et peuvent facilement être échangés lors de la lecture rapide.",easy,true
Le susnommé a 42 ans et porte des lunettes.,Le susnommé a 43 ans et porte des lunettes.,false,Une légère différence d'âge : « 42 ans » contre « 43 ans ». Les chiffres sont visuellement proches et cela peut passer inaperçu lors d'une lecture rapide.,easy,true
Sa voiture est verte immatriculée BC-789-DE.,Sa voiture est rouge immatriculée BC-789-DE.,false,"La couleur du véhicule change de « verte » à « rouge ». La différence se situe au début de l'adjectif de couleur, ce qui peut passer inaperçu pour un survol rapide du texte.",easy,true
La maison de Jules se trouve au 23 ter.,La maison de Jules se trouve au 23 tris.,false,"Erreur de frappe : « ter » est écrit « tris ». Les erreurs de frappe sur les lettres proches peuvent être difficiles à détecter, surtout à la fin d'un mot.",easy,true
Lucie a réservé pour six personnes.,Lucie a réservé pour sil personnes.,false,La différence réside dans « six » qui devient « sil ». Les lettres 'x' et 'l' peuvent se ressembler lors d'une lecture rapide et distraite.,easy,true
Camille a adopté un Chat.,Camille a adopté un chien.,false,"La différence se situe dans l'animal adopté : « Chat » devient « chien ». Ces mots désignent des animaux différents, mais la similitude phonétique peut tromper l'œil.",easy,true
"Gilles Dupuis, né le 1985.","Gilles Dupuis, né en 1985.",false,"Préposition incorrecte : « le » au lieu de « en ». Ce genre d'erreur typographique peut être facilement ignoré, car il apparaît petit et insignifiant.",easy,true
Éric possède un vélo et une voiture.,Éric possède un vélo et un voiture.,false,"Le déterminant possessif est incorrect : « une » est remplacé par « un ». Cette erreur peut être négligée, car l'œil s'attend à des phrases grammaticalement correctes.",easy,true
Phoebe a un chat nommé Simba,Phoebe a un chat nommé Siba,false,Erreur de lettre dans le nom : « Simba » devient « Siba ». Les deux lettres sont proches visuellement et peuvent facilement être confondues.,easy,true
L'homme portait un manteau bleu et une écharpe rayée.,L'homme portait un manteau bleu et une écharpe rayé.,false,Erreur d'accord : « rayée » doit être au féminin mais est écrit « rayé ». Cette différence peut passer inaperçue à cause de la petite différence de terminaison.,medium,true
Rendez-vous à la place de la Concorde à 18h30.,Rendez-vous à la place de la Concorde à 18h00.,false,L'heure du rendez-vous est différente : « 18h30 » dans text_a et « 18h00 » dans text_b. La similitude des chiffres peut entraîner une confusion rapide.,medium,true
"Le 15 août 2023, un vol a été signalé boulevard Saint-Germain.","Le 15 aout 2023, un vol a été signalé boulevard Saint-Germain.",false,Un accent est manquant : « août » devient « aout ». Les accents sont souvent négligés à cause de leur petite taille et de leur position en haut des lettres.,medium,true
Jean Lenoir a déposé plainte pour vol le 5 mars 2023.,Jean Lenoir a déposé plainte pour vol le 06 mars 2023.,false,"Différence subtile dans la date : « 5 mars » dans text_a, « 06 mars » dans text_b. Les dates sont cruciales et leur confusion peut mener à des malentendus sérieux.",medium,true
