module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 33 + 29 ?,33 + 29,"{""62"",""64"",""61"",""63""}",62,"Pour calculer 33 + 29, arrondissez 29 à 30, ce qui donne 33 + 30 = 63. Puis, soustrayez 1 pour compenser l'arrondi, ce qui donne 62. Un piège classique est d'oublier de soustraire le 1 après avoir arrondi.",Arrondissez 29 à la dizaine supérieure puis ajustez.,true
psychotechnique,calcul_mental,Facile,Combien font 37 − 19 ?,37 - 19,"{""18"",""20"",""21"",""17""}",18,"37 - 19 pose un défi de retenue. Vous pouvez arrondir 19 à 20. Donc, 37 - 20 = 17, et ajoutez 1 pour la retenue non prise en compte. Résultat final: 18.",Simplifiez 19 à 20 puis corrigez l'erreur.,true
psychotechnique,calcul_mental,Facile,Combien font 9 × 7 ?,9 * 7,"{""63"",""72"",""56"",""70""}",63,"Pour 9 × 7, utilisez la table de multiplication. Saviez-vous que 7 × 10 = 70 et vous devez soustraire un groupe de 7, soit 70 - 7 = 63 ? Un piège est d'oublier cette soustraction supplémentaire.",Pensez à 9 × (10 − 1) pour simplifier.,true
psychotechnique,calcul_mental,Facile,Combien font 72 ÷ 9 ?,72 / 9,"{""8"",""9"",""7"",""6""}",8,"Pour diviser 72 par 9, pensez aux tables de multiplication. Vous savez que 9 × 8 = 72. Un piège serait d'oublier la multiplication inverse pour vérifier votre division.",Rappelez-vous de la table de 9 pour ce calcul.,true
psychotechnique,calcul_mental,Facile,Quel est le double de 27 ?,2 * 27,"{""54"",""56"",""52"",""53""}",54,"Pour trouver le double de 27, multipliez par 2 : 27 × 2. Une astuce est de calculer 20 × 2 = 40 et 7 × 2 = 14, puis additionner 40 + 14 = 54. Méfiez-vous de compter une fois sur deux le 27 en double.",Décomposez en 20 et 7 puis doublez chacun.,true
psychotechnique,calcul_mental,Facile,"50 % de 60, c'est combien ?",0.50 * 60,"{""30"",""35"",""25"",""20""}",30,"50 % revient à prendre la moitié d'un nombre. Ainsi, 60 ÷ 2 = 30. Une erreur courante serait de confondre 50 % avec multiplier par 1.5 ou autre pourcentage méconnu.",50 % signifie tout simplement diviser par 2.,true
psychotechnique,calcul_mental,Facile,Quel est le carré de 7 ?,7^2,"{""49"",""42"",""56"",""48""}",49,7 au carré signifie multiplier 7 par 7. Cela donne 49 (7 × 7 = 49). Le piège est d'oublier d'utiliser 7 deux fois ou de confondre avec 7 × 6.,Multiplier le nombre par lui-même.,true
psychotechnique,calcul_mental,Facile,Combien font 45 + 36 ?,45 + 36,"{""81"",""79"",""82"",""80""}",81,"Pour trouver 45 + 36, vous pouvez arrondir 36 à 40, donc 45 + 40 = 85, puis soustraire 4 pour compenser l'arrondi : 85 - 4 = 81. Le piège pourrait être d'oublier de soustraire les 4 ajoutés en trop.",Arrondissez à la dizaine supérieure puis ajustez.,true
psychotechnique,calcul_mental,Facile,Quelle est la moitié de 34 ?,34 / 2,"{""17"",""16"",""18"",""19""}",17,"Divisez 34 par 2 pour obtenir 17, c'est comme partager 34 en deux parties égales. Visualisez cela comme avoir 34 objets et les répartir également en deux groupes. Méfiez-vous de confondre avec 34 + 2 au lieu de division.",Divisez le nombre par 2 pour une solution rapide.,true
psychotechnique,calcul_mental,Facile,"8 × 5, c'est combien ?",8 * 5,"{""40"",""35"",""45"",""50""}",40,"Pour 8 × 5, utilisez votre connaissance de la table de multiplication pour trouver que cela donne 40. Vous pouvez également penser à 8 × 10 = 80 et diviser par 2. Un piège serait de diviser au lieu de multiplier par erreur.",Pensez à la multiplication par tables connues.,true
psychotechnique,calcul_mental,Facile,Combien font 24 + 16 ?,24 + 16,"{""40"",""39"",""42"",""41""}",40,"Pour additionner 24 + 16, transformez 16 en 20 en ajoutant puis corrigez en soustrayant 4 pour retour à la vérité : 24 + 20 = 44, soustraction 4 égale 40. Le piège est d’oublier de retourner à la valeur exacte après arrondi.",Arrondissez d’abord 16 à la dizaine.,true
psychotechnique,calcul_mental,Facile,Quel est le résultat de 100 ÷ 25 ?,100 / 25,"{""4"",""5"",""3"",""6""}",4,"100 divisé par 25 est 4, car 25 × 4 = 100. Pensez à cela comme à casser 100 en groupes égaux de 25. Le piège ici est de soustraire au lieu de diviser, ou d'oublier l'utilisation de la table de multiplication.",Divisez simplement grâce aux unités des nombres.,true
psychotechnique,calcul_mental,Facile,Combien font 20 + 34 ?,20 + 34,"{""54"",""56"",""52"",""53""}",54,Additionner 20 à 34 est simple et donne 54. Vous pouvez utiliser 30 + 24 si c'est plus facile pour votre esprit. Une erreur classique serait de regarder les chiffres séparément sans les aligner correctement.,Additionnez directement les dizaines puis les unités.,true
psychotechnique,calcul_mental,Facile,"3 × 11, c'est combien ?",3 * 11,"{""33"",""34"",""31"",""30""}",33,"Pour 3 × 11, vous utilisez la multiplication de base pour savoir que c'est 33. Imaginez 11 comme 10 + 1, ce qui veut dire 3 × 10 + 3 × 1 = 30 + 3 = 33. Le piège serait de penser à 11 comme 2 fois 5 ou 6 par erreur.",Considérez la multiplication comme 3×(10+1).,true
psychotechnique,calcul_mental,Moyenne,Quel est le résultat de 812 - 347 ?,812 - 347,"{""465"",""475"",""455"",""485""}",465,"Pour soustraire 347 de 812, procédez de droite à gauche. De 2, empruntez 10 pour faire 12 - 7 = 5. Soustrayez 5, cela donne 65. Puis 7 - 4 = 3 et 8 - 3 = 5. Donc, 812 - 347 = 465.","Empruntez si nécessaire, travaillez de droite à gauche.",true
psychotechnique,calcul_mental,Moyenne,Quelle est la valeur de 145 ÷ 5 ?,145 / 5,"{""29"",""28"",""27"",""30""}",29,"145 ÷ 5 peut être abordé en regroupant les dizaines: 140 ÷ 5 = 28 et 5 ÷ 5 = 1, pour obtenir 29. Orientez-vous vers une division mentale décomposée. Un piège est d'ignorer la décomposition simple.",Décomposez 145 en dizaines pour simplifier.,true
psychotechnique,calcul_mental,Moyenne,Qu'est-ce que 75 % de 80 ?,0.75 * 80,"{""60"",""55"",""65"",""50""}",60,"75 % de 80 revient à 80 × 0,75 ou (80 ÷ 4) × 3 = 20 × 3 = 60. Voyez cela en morceaux de quart pour précision. Un piège couramment rencontré est de prendre un tiers au lieu d’un quart.",Fractionnez en parties de 25 % et ajustez.,true
psychotechnique,calcul_mental,Moyenne,Déterminez 15 % de 200.,0.15 * 200,"{""30"",""25"",""20"",""35""}",30,"Pour 15 % de 200, commencez avec 10 % de 200, soit 20, puis 5 % de 200 qui est la moitié de 10 %, soit 10. Additionnez : 20 + 10 = 30. Le piège : oublier de calculer les 5 % après le 10 %.","Commencez par 10 %, puis ajoutez 5 %.",true
psychotechnique,calcul_mental,Moyenne,Combien font 241 + 399 ?,241 + 399,"{""640"",""600"",""641"",""639""}",640,"Pour 241 + 399, imaginez 399 comme 400 puis soustrayez 1 après l'addition : 241 + 400 = 641, puis 641 - 1 = 640. Méfiez-vous de l'oubli de la restitution retirée.","Arrondissez 399 à 400, puis soustrayez 1.",true
psychotechnique,calcul_mental,Moyenne,Trouver 40 % de 90.,0.40 * 90,"{""36"",""32"",""38"",""34""}",36,"Pour 40 % de 90, pensez à 10 % de 90 qui est 9, puis multipliez ce 9 par 4 : 9 × 4 = 36. L’erreur ici est de calculer 50 % par défaut.",Multipliez 10 % par 4 pour obtenir 40 %.,true
psychotechnique,calcul_mental,Moyenne,Qu'est-ce que 775 - 246 ?,775 - 246,"{""529"",""519"",""530"",""521""}",529,"Pour soustraire 246 de 775, décomposez d'abord les unités : 5 - 6 nécessite un emprunt, devenant 15 - 6 = 9. Ensuite, 6 - 4 = 2, enfin : 7 - 2 = 5, soit 529. Attention à ne pas oublier l'emprunt initial.",Travaillez progressivement des unités aux centaines.,true
