module,category,difficulty,question,prompt,image_url,figure_data,transformation_type,options,answer,explanation,hint,is_active
psychotechnique,rotations_symetries,Facile,Quel chiffre reste identique après une rotation de 180° ?,Considérez les chiffres manuscrits standards.,,,rotation,"[{""key"":""A"",""label"":""6""},{""key"":""B"",""label"":""8""},{""key"":""C"",""label"":""9""},{""key"":""D"",""label"":""0""}]",B,"Quand on tourne le chiffre 8 de 180°, il reste inchangé grâce à sa symétrie centrale. Le 6 deviendrait un 9 et le 0 n'est pas modifié mais sa justification nécessite une vue différente.",Cherchez une symétrie dans le chiffre.,true
psychotechnique,rotations_symetries,Facile,Une rotation de 90° dans le sens des aiguilles d'une montre transforme un « L » en :,On part d'une position standard avec l'angle droit en bas à gauche.,,,rotation,"[{""key"":""A"",""label"":""Une barre horizontale""},{""key"":""B"",""label"":""Un T""},{""key"":""C"",""label"":""Un L inversé""},{""key"":""D"",""label"":""Un L couché""}]",D,Une rotation de 90° du L rend l'angle droit orienté vers le bas à droite. Le L est donc couché horizontalement vers la droite.,Imaginez la rotation comme un mouvement d'horloge.,true
psychotechnique,rotations_symetries,Facile,Laquelle de ces figures a une symétrie axiale horizontale ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Triangle isocèle""},{""key"":""B"",""label"":""Cercle""},{""key"":""C"",""label"":""Quadrilatère complexe""},{""key"":""D"",""label"":""Lettre M""}]",D,"La lettre M, lorsque dessinée correctement, a une symétrie axiale horizontale. Cela signifie que si vous dessinez une ligne horizontale à travers son centre, elle se divise en parties égales.",Visualisez les lettres symétriques horizontalement.,true
psychotechnique,rotations_symetries,Facile,Quelle est la rotation minimale pour qu'un carré retrouve son aspect original ?,,,,rotation,"[{""key"":""A"",""label"":""360°""},{""key"":""B"",""label"":""90°""},{""key"":""C"",""label"":""180°""},{""key"":""D"",""label"":""270°""}]",B,Un carré après une rotation de 90° se place parfaitement à sa position initiale grâce à sa symétrie de 90°. Toutes les rotations multiples de 90° (comme 180° et 360°) laissent le carré inchangé visuellement.,Pensez à son retour visuel immédiat.,true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie possède un pentagone régulier ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""5""},{""key"":""D"",""label"":""6""}]",C,"Un pentagone régulier possède 5 axes de symétrie. Chacun passe par un sommet et le milieu du côté opposé, chaque symétrie divisant la figure en deux moitiés égales.","Nombre de sommets égal, nombre de symétries.",true
psychotechnique,rotations_symetries,Facile,Combien d'axes de symétrie a la lettre E ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""0""},{""key"":""C"",""label"":""2""},{""key"":""D"",""label"":""3""}]",B,"La lettre E n'a aucun axe de symétrie. Bien qu'elle semble presque symétrique verticalement, les variations dans la longueur des branches horizontales empêchent une parfaite symétrie.",Examinez la structure des barres horizontales.,true
psychotechnique,rotations_symetries,Facile,Quel pictogramme routier interdit totalement une symétrie axiale ?,,,,symétrie axiale,"[{""key"":""A"",""label"":""Stop""},{""key"":""B"",""label"":""Stationnement interdit""},{""key"":""C"",""label"":""Cédez-le-passage""},{""key"":""D"",""label"":""Rond-point""}]",B,"Le panneau de 'Stationnement interdit', souvent représenté par un cercle barré, ne jouit pas de symétrie axiale. Les éléments graphiques ne sont pas alignés de manière symétrique axialement.",Représentation graphique vs équilibre visuel.,true
psychotechnique,rotations_symetries,Facile,Combien de rotations distinctes exactement conservent un carré inchangé ?,,,,rotation,"[{""key"":""A"",""label"":""1""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""3""},{""key"":""D"",""label"":""4""}]",D,"En tournant le carré de 90°, 180°, 270° ou 360°, le carré reste invariant. Ces rotations prolifèrent grâce à la symétrie à 360° divisible par 90°.",Divise 360° pour trouver les répétitions du carré.,true
psychotechnique,rotations_symetries,Facile,Quelle figure reste identique après une rotation de 360° ?,,,,rotation,"[{""key"":""A"",""label"":""Cercle""},{""key"":""B"",""label"":""Rectangle""},{""key"":""C"",""label"":""Triangle""},{""key"":""D"",""label"":""Hexagone""}]",A,"Tous les cercles restent invariants après n'importe quelle rotation, mais une rotation de 360° ramène toutes les figures identiques à leur état d'origine.",Un cycle complet ne change rien.,true
psychotechnique,rotations_symetries,Moyenne,Une rotation de 180° d'une lettre 'N' produit-elle une symétrie axiale ?,,,,rotation,"[{""key"":""A"",""label"":""Oui, horizontale""},{""key"":""B"",""label"":""Oui, verticale""},{""key"":""C"",""label"":""Non, cela produit une rotation centrale""},{""key"":""D"",""label"":""Non, elle reste la même""}]",C,"La lettre 'N', après une rotation de 180°, est dans sa position inversée. Cette transformation est un exemple de combinaison où la symétrie centrale se manifeste par une rotation de 180°.",Cherchez l'effet de renversement total.,true
