module;category;difficulty;question;expression;options;answer;explanation;hint;is_active
psychotechnique;calcul_mental;Facile;Combien font 28 + 23 ?;28 + 23;"[""61"", ""50"", ""52"", ""51""]";51;Le calcul à effectuer est 28 + 23, ce qui donne 51. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 23 × 14 ?;23 × 14;"[""322"", ""332"", ""323"", ""321""]";322;Le calcul à effectuer est 23 × 14, ce qui donne 322. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Distributivité;true
psychotechnique;calcul_mental;Difficile;Combien vaut √400 ?;√400;"[""19"", ""30"", ""20"", ""21""]";20;Le calcul à effectuer est √400, ce qui donne 20. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Chercher le carré parfait;true
psychotechnique;calcul_mental;Facile;Combien font 50 % de 100 ?;50 % de 100;"[""49"", ""50"", ""60"", ""51""]";50;Le calcul à effectuer est 50 % de 100, ce qui donne 50. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser moitié, quart ou dixième;true
psychotechnique;calcul_mental;Moyenne;Combien font 999 - 177 ?;999 - 177;"[""832"", ""821"", ""822"", ""823""]";822;Le calcul à effectuer est 999 - 177, ce qui donne 822. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Soustraction par compensation;true
psychotechnique;calcul_mental;Difficile;Combien font 2^7 ?;2^7;"[""127"", ""138"", ""129"", ""128""]";128;Le calcul à effectuer est 2^7, ce qui donne 128. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Multiplier étape par étape;true
psychotechnique;calcul_mental;Facile;Combien font 6 × 3 ?;6 × 3;"[""28"", ""17"", ""18"", ""19""]";18;Le calcul à effectuer est 6 × 3, ce qui donne 18. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser les tables;true
psychotechnique;calcul_mental;Moyenne;Combien font 362 + 273 ?;362 + 273;"[""636"", ""635"", ""634"", ""645""]";635;Le calcul à effectuer est 362 + 273, ce qui donne 635. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Additionner centaines, dizaines, unités;true
psychotechnique;calcul_mental;Difficile;Combien font 3^4 ?;3^4;"[""81"", ""91"", ""80"", ""82""]";81;Le calcul à effectuer est 3^4, ce qui donne 81. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Multiplier étape par étape;true
psychotechnique;calcul_mental;Facile;Combien font 10 × 2 ?;10 × 2;"[""21"", ""20"", ""19"", ""30""]";20;Le calcul à effectuer est 10 × 2, ce qui donne 20. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser les tables;true
psychotechnique;calcul_mental;Moyenne;Combien font 344 + 361 ?;344 + 361;"[""705"", ""704"", ""706"", ""715""]";705;Le calcul à effectuer est 344 + 361, ce qui donne 705. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Additionner centaines, dizaines, unités;true
psychotechnique;calcul_mental;Difficile;Combien font 49 × 25 ?;49 × 25;"[""1235"", ""1224"", ""1225"", ""1226""]";1225;Le calcul à effectuer est 49 × 25, ce qui donne 1225. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le second facteur;true
psychotechnique;calcul_mental;Facile;Combien font 40 + 20 ?;40 + 20;"[""70"", ""59"", ""60"", ""61""]";60;Le calcul à effectuer est 40 + 20, ce qui donne 60. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 12² ?;12²;"[""154"", ""143"", ""144"", ""145""]";144;Le calcul à effectuer est 12², ce qui donne 144. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser (10+n)²;true
psychotechnique;calcul_mental;Difficile;Combien font 2/4 de 128 ?;2/4 de 128;"[""64"", ""65"", ""74"", ""63""]";64;Le calcul à effectuer est 2/4 de 128, ce qui donne 64. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Diviser puis multiplier;true
psychotechnique;calcul_mental;Facile;Combien font 77 - 27 ?;77 - 27;"[""51"", ""60"", ""50"", ""49""]";50;Le calcul à effectuer est 77 - 27, ce qui donne 50. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer dizaines et unités;true
psychotechnique;calcul_mental;Moyenne;Combien font 24 × 11 ?;24 × 11;"[""263"", ""264"", ""265"", ""274""]";264;Le calcul à effectuer est 24 × 11, ce qui donne 264. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Distributivité;true
psychotechnique;calcul_mental;Difficile;Combien font (54 × 8) - 66 ?;(54 × 8) - 66;"[""376"", ""365"", ""367"", ""366""]";366;Le calcul à effectuer est (54 × 8) - 66, ce qui donne 366. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Respecter les priorités;true
psychotechnique;calcul_mental;Facile;Combien font 20 / 4 ?;20 / 4;"[""4"", ""15"", ""5"", ""6""]";5;Le calcul à effectuer est 20 / 4, ce qui donne 5. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Retrouver la multiplication inverse;true
psychotechnique;calcul_mental;Moyenne;Combien font 15 % de 240 ?;15 % de 240;"[""37"", ""46"", ""36"", ""35""]";36;Le calcul à effectuer est 15 % de 240, ce qui donne 36. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le pourcentage;true
psychotechnique;calcul_mental;Difficile;Combien vaut √324 ?;√324;"[""28"", ""17"", ""19"", ""18""]";18;Le calcul à effectuer est √324, ce qui donne 18. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Chercher le carré parfait;true
psychotechnique;calcul_mental;Facile;Combien font 14 + 11 ?;14 + 11;"[""24"", ""35"", ""25"", ""26""]";25;Le calcul à effectuer est 14 + 11, ce qui donne 25. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 15² ?;15²;"[""235"", ""225"", ""226"", ""224""]";225;Le calcul à effectuer est 15², ce qui donne 225. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser (10+n)²;true
psychotechnique;calcul_mental;Difficile;Combien font (51 × 3) - 88 ?;(51 × 3) - 88;"[""65"", ""75"", ""66"", ""64""]";65;Le calcul à effectuer est (51 × 3) - 88, ce qui donne 65. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Respecter les priorités;true
psychotechnique;calcul_mental;Facile;Combien font 27 + 19 ?;27 + 19;"[""46"", ""45"", ""47"", ""56""]";46;Le calcul à effectuer est 27 + 19, ce qui donne 46. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 517 - 199 ?;517 - 199;"[""317"", ""328"", ""318"", ""319""]";318;Le calcul à effectuer est 517 - 199, ce qui donne 318. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Soustraction par compensation;true
psychotechnique;calcul_mental;Difficile;Combien font 2/4 de 124 ?;2/4 de 124;"[""62"", ""63"", ""61"", ""72""]";62;Le calcul à effectuer est 2/4 de 124, ce qui donne 62. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Diviser puis multiplier;true
psychotechnique;calcul_mental;Facile;Combien font 10 % de 200 ?;10 % de 200;"[""19"", ""30"", ""20"", ""21""]";20;Le calcul à effectuer est 10 % de 200, ce qui donne 20. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser moitié, quart ou dixième;true
psychotechnique;calcul_mental;Moyenne;Combien font 612 - 126 ?;612 - 126;"[""496"", ""486"", ""485"", ""487""]";486;Le calcul à effectuer est 612 - 126, ce qui donne 486. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Soustraction par compensation;true
psychotechnique;calcul_mental;Difficile;Combien font 35 × 29 ?;35 × 29;"[""1016"", ""1015"", ""1014"", ""1025""]";1015;Le calcul à effectuer est 35 × 29, ce qui donne 1015. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le second facteur;true
psychotechnique;calcul_mental;Facile;Combien font 51 - 25 ?;51 - 25;"[""26"", ""36"", ""25"", ""27""]";26;Le calcul à effectuer est 51 - 25, ce qui donne 26. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer dizaines et unités;true
psychotechnique;calcul_mental;Moyenne;Combien font 272 + 199 ?;272 + 199;"[""471"", ""481"", ""472"", ""470""]";471;Le calcul à effectuer est 272 + 199, ce qui donne 471. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Additionner centaines, dizaines, unités;true
psychotechnique;calcul_mental;Difficile;Combien font 39 × 25 ?;39 × 25;"[""974"", ""975"", ""985"", ""976""]";975;Le calcul à effectuer est 39 × 25, ce qui donne 975. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le second facteur;true
psychotechnique;calcul_mental;Facile;Combien font 25 % de 200 ?;25 % de 200;"[""51"", ""50"", ""49"", ""60""]";50;Le calcul à effectuer est 25 % de 200, ce qui donne 50. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser moitié, quart ou dixième;true
psychotechnique;calcul_mental;Moyenne;Combien font 506 - 348 ?;506 - 348;"[""158"", ""157"", ""168"", ""159""]";158;Le calcul à effectuer est 506 - 348, ce qui donne 158. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Soustraction par compensation;true
psychotechnique;calcul_mental;Difficile;Combien font 29 × 20 ?;29 × 20;"[""580"", ""581"", ""579"", ""590""]";580;Le calcul à effectuer est 29 × 20, ce qui donne 580. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le second facteur;true
psychotechnique;calcul_mental;Facile;Combien font 2 × 10 ?;2 × 10;"[""20"", ""30"", ""21"", ""19""]";20;Le calcul à effectuer est 2 × 10, ce qui donne 20. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser les tables;true
psychotechnique;calcul_mental;Moyenne;Combien font 884 - 396 ?;884 - 396;"[""488"", ""487"", ""498"", ""489""]";488;Le calcul à effectuer est 884 - 396, ce qui donne 488. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Soustraction par compensation;true
psychotechnique;calcul_mental;Difficile;Combien font 2/3 de 93 ?;2/3 de 93;"[""61"", ""62"", ""72"", ""63""]";62;Le calcul à effectuer est 2/3 de 93, ce qui donne 62. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Diviser puis multiplier;true
psychotechnique;calcul_mental;Facile;Combien font 36 / 9 ?;36 / 9;"[""3"", ""5"", ""4"", ""14""]";4;Le calcul à effectuer est 36 / 9, ce qui donne 4. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Retrouver la multiplication inverse;true
psychotechnique;calcul_mental;Moyenne;Combien font 14 × 15 ?;14 × 15;"[""220"", ""210"", ""211"", ""209""]";210;Le calcul à effectuer est 14 × 15, ce qui donne 210. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Distributivité;true
psychotechnique;calcul_mental;Difficile;Combien vaut √144 ?;√144;"[""11"", ""22"", ""13"", ""12""]";12;Le calcul à effectuer est √144, ce qui donne 12. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Chercher le carré parfait;true
psychotechnique;calcul_mental;Facile;Combien font 25 % de 60 ?;25 % de 60;"[""25"", ""14"", ""15"", ""16""]";15;Le calcul à effectuer est 25 % de 60, ce qui donne 15. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser moitié, quart ou dixième;true
psychotechnique;calcul_mental;Moyenne;Combien font 12 × 15 ?;12 × 15;"[""190"", ""179"", ""181"", ""180""]";180;Le calcul à effectuer est 12 × 15, ce qui donne 180. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Distributivité;true
psychotechnique;calcul_mental;Difficile;Combien font 2/3 de 48 ?;2/3 de 48;"[""33"", ""32"", ""31"", ""42""]";32;Le calcul à effectuer est 2/3 de 48, ce qui donne 32. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Diviser puis multiplier;true
psychotechnique;calcul_mental;Facile;Combien font 46 + 14 ?;46 + 14;"[""61"", ""70"", ""60"", ""59""]";60;Le calcul à effectuer est 46 + 14, ce qui donne 60. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 11² ?;11²;"[""120"", ""131"", ""122"", ""121""]";121;Le calcul à effectuer est 11², ce qui donne 121. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser (10+n)²;true
psychotechnique;calcul_mental;Difficile;Combien font 48 × 24 ?;48 × 24;"[""1162"", ""1151"", ""1152"", ""1153""]";1152;Le calcul à effectuer est 48 × 24, ce qui donne 1152. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le second facteur;true
psychotechnique;calcul_mental;Facile;Combien font 80 - 19 ?;80 - 19;"[""60"", ""71"", ""62"", ""61""]";61;Le calcul à effectuer est 80 - 19, ce qui donne 61. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer dizaines et unités;true
psychotechnique;calcul_mental;Moyenne;Combien font 799 - 166 ?;799 - 166;"[""632"", ""643"", ""633"", ""634""]";633;Le calcul à effectuer est 799 - 166, ce qui donne 633. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Soustraction par compensation;true
psychotechnique;calcul_mental;Facile;Combien font 17 + 28 ?;17 + 28;"[""45"", ""44"", ""55"", ""46""]";45;Le calcul à effectuer est 17 + 28, ce qui donne 45. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 226 + 219 ?;226 + 219;"[""445"", ""446"", ""444"", ""455""]";445;Le calcul à effectuer est 226 + 219, ce qui donne 445. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Additionner centaines, dizaines, unités;true
psychotechnique;calcul_mental;Difficile;Combien vaut √289 ?;√289;"[""27"", ""17"", ""18"", ""16""]";17;Le calcul à effectuer est √289, ce qui donne 17. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Chercher le carré parfait;true
psychotechnique;calcul_mental;Facile;Combien font 15 + 11 ?;15 + 11;"[""26"", ""36"", ""25"", ""27""]";26;Le calcul à effectuer est 15 + 11, ce qui donne 26. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Arrondir puis ajuster;true
psychotechnique;calcul_mental;Moyenne;Combien font 18 × 12 ?;18 × 12;"[""226"", ""216"", ""217"", ""215""]";216;Le calcul à effectuer est 18 × 12, ce qui donne 216. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Distributivité;true
psychotechnique;calcul_mental;Difficile;Combien font (32 × 3) - 66 ?;(32 × 3) - 66;"[""30"", ""31"", ""40"", ""29""]";30;Le calcul à effectuer est (32 × 3) - 66, ce qui donne 30. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Respecter les priorités;true
psychotechnique;calcul_mental;Facile;Combien font 74 - 25 ?;74 - 25;"[""50"", ""59"", ""49"", ""48""]";49;Le calcul à effectuer est 74 - 25, ce qui donne 49. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer dizaines et unités;true
psychotechnique;calcul_mental;Moyenne;Combien font 18² ?;18²;"[""334"", ""324"", ""325"", ""323""]";324;Le calcul à effectuer est 18², ce qui donne 324. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser (10+n)²;true
psychotechnique;calcul_mental;Difficile;Combien font 22 × 23 ?;22 × 23;"[""505"", ""516"", ""507"", ""506""]";506;Le calcul à effectuer est 22 × 23, ce qui donne 506. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le second facteur;true
psychotechnique;calcul_mental;Facile;Combien font 64 / 8 ?;64 / 8;"[""7"", ""9"", ""18"", ""8""]";8;Le calcul à effectuer est 64 / 8, ce qui donne 8. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Retrouver la multiplication inverse;true
psychotechnique;calcul_mental;Moyenne;Combien font 20 % de 120 ?;20 % de 120;"[""23"", ""24"", ""25"", ""34""]";24;Le calcul à effectuer est 20 % de 120, ce qui donne 24. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Décomposer le pourcentage;true
psychotechnique;calcul_mental;Difficile;Combien font 4/5 de 75 ?;4/5 de 75;"[""61"", ""60"", ""59"", ""70""]";60;Le calcul à effectuer est 4/5 de 75, ce qui donne 60. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Diviser puis multiplier;true
psychotechnique;calcul_mental;Facile;Combien font 7 × 2 ?;7 × 2;"[""15"", ""24"", ""14"", ""13""]";14;Le calcul à effectuer est 7 × 2, ce qui donne 14. On peut le résoudre mentalement en décomposant les nombres et en gardant les priorités d'opérations. Le piège classique est d'aller trop vite : oubli d'une retenue, confusion entre multiplication et addition, ou mauvaise lecture du pourcentage.;Utiliser les tables;true
