module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"3, 6, 9, ?, 15",Quel terme manque ?,"{""10"",""12"",""11""}",12,"Il s'agit d'une progression arithmétique avec un ajout constant de 3. Ainsi, le calcul est 9 + 3 = 12. Le piège serait de confondre avec une suite de multiplication par 2, mais ce n'est pas le cas ici.",Vérifie l'écart constant entre les termes.,true
psychotechnique,suite_logique,Facile,"?, 2, 4, 6, 8",Quel terme manque ?,"{""2"",""1"",""0""}",0,La suite est une progression arithmétique avec un ajout de 2 à partir de 0. Le calcul est donc 0 + 2 = 2. Ce genre de suite peut induire en erreur en pensant que le nombre pair complémentaire est nécessaire au début.,Cherche un point de départ pair.,true
psychotechnique,suite_logique,Facile,"10, ?, 16, 20, 24",Quel terme manque ?,"{""13"",""11"",""12""}",12,Il s'agit d'une progression arithmétique avec un ajout de 4 à chaque étape. Le calcul est 10 + 4 = 14. Le piège est de penser que 10 à 16 est un double ajout au lieu de suivre l'incrémentation systématique de 4.,Chaque terme augmente de 4.,true
psychotechnique,suite_logique,Facile,"7, 14, ?, 28, 35",Quel terme manque ?,"{""21"",""15"",""26""}",21,"La suite suit une progression arithmétique de +7. Le terme manquant est donc 14 + 7 = 21. Ne te fais pas piéger par la tentation de chercher des multiples, ici seul l'ajout de 7 compte.",Chaque terme est un multiple de 7.,true
psychotechnique,suite_logique,Facile,"2, 4, ?, 16, 32",Quel terme manque ?,"{""12"",""6"",""8""}",8,"Les termes sont tous des puissances de 2 : 2, 4, 8, 16, 32. Le calcul pour le terme manquant est 4 × 2 = 8. Le piège serait de chercher une somme fixe plutôt qu'une multiplication.",Focus sur une multiplication récurrente.,true
psychotechnique,suite_logique,Facile,"1, 4, 9, ?, 25",Quel terme manque ?,"{""15"",""14"",""16""}",16,"Cette suite est constituée de carrés de nombres entiers : 1², 2², 3², etc. Donc le terme manquant est 4² = 16. Il est facile de se tromper en pensant à une différence constante alors qu'il s'agit de carrés.",Les termes sont le carré de nombres entiers.,true
psychotechnique,suite_logique,Facile,"1, ?, 3, 4, 5, 6",Quel terme manque ?,"{""3"",""2"",""4""}",2,"La suite est une séquence croissante simple avec une augmentation de 1. Le terme manquant est donc 1 + 1 = 2. Une erreur typique serait de chercher une progression plus complexe, alors qu'elle est linéaire.",Simple addition séquentielle.,true
psychotechnique,suite_logique,Facile,"11, ?, 15, 17, 19",Quel terme manque ?,"{""13"",""14"",""12""}",13,"Chaque terme est obtenu en ajoutant 2 au précédent (11 + 2 = 13). Si on ne suit pas la logique du +2 systématique, on risque de se tromper en pensant à une suite aléatoire.",Suivre une augmentation constante.,true
psychotechnique,suite_logique,Facile,"2, 5, 8, ?, 14",Quel terme manque ?,"{""12"",""10"",""11""}",11,La suite est en progression arithmétique avec un ajout constant de 3. On calcule donc 8 + 3 = 11. Le piège consisterait à mal estimer le pas d'augmentation.,Une simple addition de 3.,true
psychotechnique,suite_logique,Facile,"24, 22, 20, ?, 16",Quel terme manque ?,"{""18"",""19"",""21""}",18,La progression est une soustraction constante de 2 par terme. Donc 20 - 2 = 18. Ne te laisse pas piéger en pensant à une soustraction plus grande.,C'est une simple soustraction.,true
