text_a,text_b,is_true,explanation,difficulty,is_active
Peugeot 208 blanche immatriculée CD-456-EF,Peugeot 307 blanche immatriculée CD-456-EF,false,La différence se trouve au niveau du modèle de la voiture : « 208 » dans text_a et « 307 » dans text_b.,easy,true
"7 avenue Gabriel, 75008 Paris","7 avenue George, 75008 Paris",false,La différence se situe dans le nom de l'avenue : « Gabriel » dans text_a et « George » dans text_b.,easy,true
Alexandra Dupont,Alexandre Dupont,false,La différence se situe au niveau du prénom : « Alexandra » dans text_a et « Alexandre » dans text_b.,easy,true
"Bâtiment C, étage 3","Bâtiment C, étage 2",false,La différence réside dans le numéro de l'étage : « 3 » dans text_a contre « 2 » dans text_b.,easy,true
"Citroën C3, verte","Citroën C3, bleue",false,La couleur diffère : « verte » dans text_a et « bleue » dans text_b.,easy,true
Article 322-1,Article 322-2,false,Différence dans le numéro de l'article : « 322-1 » dans text_a et « 322-2 » dans text_b.,easy,true
Section A.2,Section A.3,false,La différence est dans la sous-section : « A.2 » dans text_a et « A.3 » dans text_b.,easy,true
"Le 15/06/2022, à 10h00, une enquête commence rue Saint-Denis.","Le 15/06/2022, à 10h00, une enquête commence rue Saint-Dénis.",false,La différence se trouve dans l'accent du mot « Saint-Denis » : « Saint-Dénis » dans text_b introduit une erreur.,medium,true
Le suspect portait une chemise bleu clair avec des boutons gris.,Le suspect portait une chemise bleue clair avec des boutons gris.,false,La couleur de la chemise est décrite différemment : « bleu clair » dans text_a vs « bleue clair » dans text_b.,medium,true
"34 avenue des Champs-Élysées, 75008 Paris.","34 avenue des Champs-Élysée, 75008 Paris.",false,L'erreur est dans le nom : « Champs-Élysées » dans text_a est incorrectement « Champs-Élysée » dans text_b.,medium,true
Le témoin a identifié le modèle : Peugeot 308 rouge.,Le témoin a identifié le modéle : Peugeot 308 rouge.,false,Erreur sur l'accent du mot « modèle » : « modéle » dans text_b est incorrect.,medium,true
Le magasin fermera le 25/12 à 18h00.,Le magasin fermera le 25/12 à 18H00.,false,"Le « h » est en minuscule dans text_a et en majuscule dans text_b, ce qui constitue la différence.",medium,true
Il a fait beau lors de l'événement le 14 juillet.,Il a fait beau lors de l'évenement le 14 juillet.,false,Le mot « événement » est mal orthographié dans text_b avec un é : « évenement ».,medium,true
Le voleur portait un blouson brun et des chaussures blanches.,Le voleur portait un blouson brune et des chaussures blanches.,false,La couleur du blouson est mal accordée dans text_b : « brun » vs « brune ».,medium,true
"Elle dit avoir vu un homme, chaussé de baskets vertes.","Elle dit avoir vu un hommme, chaussé de baskets vertes.",false,Le mot « homme » est corrupt avec une lettre supplémentaire dans text_b : « hommme ».,medium,true
"Le 05 septembre, la réunion commencera à midi 30.","Le 05 septembre, la réunion commencera à 12h30.",false,Deux formats temporels distincts : « midi 30 » dans text_a et « 12h30 » dans text_b.,medium,true
"Le suspect a été décrit comme ayant les cheveux blonds, portant un manteau sombre et des lunettes de soleil. Sa hauteur estimée était d'environ 1.75 mètres.","Le suspect a été décrit comme ayant les cheveux blonds, portant un manteau sombre et des lunettes de soleil. Sa hauteur estimée était d’environ 1.75 mètres.",false,La différence réside dans l'apostrophe du mot « d’environ » : apostrophe classique dans text_b.,hard,true
"Lors de l'audience, il a été déterminé que le prévenu n'était pas présent sur les lieux du crime à 18h45 ce jour-là.","Lors de l'audience, il a été déterminé que le prévenu n'était pas présent sur les lieux du crime à 18h45, ce jour-là.",false,La seule différence réside dans la virgule ajoutée dans text_b après « 18h45 ».,hard,true
"L'article 225-1 du code pénal décrit les actions considérées comme de la discrimination, qui incluent le fait de refuser un bien ou un service.","L'article 225-1 du code penal décrit les actions considérées comme de la discrimination, qui incluent le fait de refuser un bien ou un service.",false,Le mot « pénal » est écrit sans accent dans text_b : « penal ».,hard,true
"Le 30 mai 2024, une perquisition au domicile de Monsieur Fermat a permis de découvrir plusieurs objets volés, dont une œuvre d'art estimée à 200 000 euros.","Le 30 mai 2024, une perquisition au domicile de Monsieur Fermat a permis de découvrir plusieurs objets volés, dont une œuvre d'art estimée à 200 000 euros.",false,La différence réside dans la cédille du mot « découvrir » : « découvrir » mal orthographié avec un accent erroné.,hard,true
"En vertu de l'article 112-4 du code de procédure pénale, un individu peut être détenu sans poursuite judiciaire si les preuves sont jugées insuffisantes.","En vertu de l’article 112-4 du code de procédure pénale, un individu peut être détenu sans poursuite judiciaire si les preuves sont jugées insuffisantes.",false,"L'apostrophe dans « l’article » diffère entre les textes : droite dans text_a, courbe dans text_b.",hard,true
"Selon le rapport d'enquête, le véhicule impliqué, portant la plaque ZZ-908-FF, a été vu dernière fois aine rue Pasteur à 18 heures précises.","Selon le rapport d'enquête, le véhicule impliqué, portant la plaque ZZ-908-FF, a été vu pour la dernière fois dans la rue Pasteur à 18 heures précises.",false,Divergence dans l'expression : « dernière fois aine rue » insensé́ dans text_a corrigé en text_b.,hard,true
Le rapport de police indique qu'à la date du 21/07/2023 il n'y avait aucune activité suspecte enregistrée dans les environs du boulevard Haussmann.,"Le rapport de police indique qu'à la date du 21/07/2023, il n'y avait aucune activité suspecte enregistrée dans les environs du boulevard Haussmann.",false,"Différences d'accent et de ponctuation : « qu'à̀ la date » sans virgule dans text_a, corrigé en text_b.",hard,true
"À la suite de la tentative d'effraction, les agents ont soigneusement examiné la scène pour relever tout indice pouvant conduire à une identification du malfaiteur.","À la suite de la tentative d'effraction, les agents ont soigneusement examiné la scène pour relever tout indice pouvant conduire à une identification du malfaiteur.",false,"Erreur d'accentuation dans « examiné » sur le « n » en text_b, correct dans text_a.",hard,true
Un homme en veste marron a été aperçu courant vers le parc après la hausse nocturne des activités suspectes observée récemment.,Un homme en vaite marron a été aperçu courant vers le parc après la hausse nocturne des activités suspectes observée récemment.,false,Erreur flagrante : « veste » mal transcrit en « vaite » dans text_b.,hard,true
Le Tribunal a jugé l'accusé coupable suite aux témoignages convergents et à l’expertise médico-légale irréfutable produite lors de l’audience finale.,Le Tribunal a jugé l’accuse coupable suite aux témoignages convergents et à l’expertise médico-légale irréfutable produite lors de l’audience finale.,false,"L'accent sur « accusé » est manquant sur le mot en text_b comparé à text_a, causant inattention.",hard,true
"Lors de la course haletante, l’officier a repéré une silhouette fuyant à toute allure le champ de vision, laissant derrière elle une traînée de poussière marquant l’évasion.","Lors de la course haletante, l'officier a repéré une silhouette fuyant à toute allure le champ de vision, laissant derrière elle une traînée de poussière marquant l’évasion.",false,"La subtilité vient de l'apostrophe : « l’officier » avec accent courbe dans text_a, droite dans text_b.",hard,true
"Les caméras de surveillance ont capturé un individu de grande taille dans l'enceinte commerciale, vêtu d'un sweat à capuche et de baskets noires.","Les caméras de surveillance ont capturé un individu de grande taille dans l'enceinte commerciale, vêtue d'un sweat à capuche et de baskets noires.",false,"Différence subtile due à l'accord : « vêtu » correct en text_a, mal accordé en féminin « vêtue » en text_b.",hard,true
