module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_logique,Facile,Que peut-on déduire de cet énoncé ?,Tous les poissons nagent. Nemo est un poisson.,"{""Nemo marche"",""Nemo nage"",""Nemo vole"",""On ne peut pas savoir""}",Nemo nage,"Il s'agit d'un syllogisme par transitivité. Puisque tous les poissons nagent et que Nemo est un poisson, il s'ensuit logiquement que Nemo nage. Il est crucial de ne pas succomber au piège qui consisterait à imaginer qu'il existe une exception non mentionnée dans l'énoncé.",Rappel : tous les poissons partagent une caractéristique commune.,true
psychotechnique,raisonnement_logique,Facile,Quelle conclusion est correcte ?,Tous les chiens aboient. Rex est un chien.,"{""Rex est un chat"",""Rex aboie"",""Rex ne peut pas aboyer"",""On ne peut pas savoir""}",Rex aboie,"Syllogisme classique : si tous les chiens aboient et que Rex est un chien, par transitivité, nous pouvons conclure que Rex aboie. Ce raisonnement repose sur l'association directe entre l'appartenance à une catégorie et ses caractéristiques.",Applique la règle de tous les membres d'un groupe.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on conclure ?,Aucune pomme n'est bleue. Cette pomme est rouge.,"{""Cette pomme est bleue"",""Cette pomme est une pomme"",""Cette pomme n'est pas bleue"",""On ne peut pas savoir""}",Cette pomme n'est pas bleue,"Il s'agit ici d'utiliser la règle du complément. L'énoncé établit qu'aucune pomme n'est bleue. Ainsi, peu importe que cette pomme soit rouge ou d'une autre couleur, elle ne peut en aucun cas être bleue.",Rappelez-vous de ce qui est explicitement exclus.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on en déduire ?,Tous les livres sont source de savoir. Celui-ci est un livre.,"{""Ce livre est source de savoir"",""Ce livre est un mystère"",""Ce livre n'apporte rien"",""On ne peut pas savoir""}",Ce livre est source de savoir,"Ceci est un syllogisme classique. Puisque tous les livres sont source de savoir et que nous savons qu'il s'agit d'un livre, il s'ensuit que ce livre est source de savoir également. Le piège potentiel est de ne pas appliquer la règle de la transitivité de façon rigoureuse.",Considérez les caractéristiques de tous les éléments d'un groupe.,true
psychotechnique,raisonnement_logique,Facile,Quelle est la conclusion ?,Tous les arbres sont des plantes. Ce pommier est un arbre.,"{""Ce pommier est un animal"",""Ce pommier est une plante"",""On ne peut rien conclure"",""Ce pommier n'est pas une plante""}",Ce pommier est une plante,"Le raisonnement repose sur un syllogisme simple. Puisque tous les arbres sont des plantes, dès lors que ce pommier est identifié comme un arbre, il doit donc être une plante. Ne cédez pas à la tentation de remettre en question ce qui est déjà défini par l'énoncé.",Réfléchissez à l'appartenance des ensembles.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on conclure ?,Aucune étoile n'est une planète. Jupiter est une planète.,"{""Jupiter est une étoile"",""Jupiter est une planète"",""Jupiter n'est pas une étoile"",""On ne peut pas savoir""}",Jupiter n'est pas une étoile,"L'énoncé stipule qu'aucune étoile n'est une planète. Puisque Jupiter est une planète, cela implique que Jupiter ne peut être une étoile. Il est essentiel d'identifier la négation appropriée : une planète ne peut jamais appartenir à la catégorie des étoiles.",Concentrez-vous sur les exclusions données.,true
psychotechnique,raisonnement_logique,Facile,Quelle conclusion est juste ?,Toutes les bananes sont jaunes. Ce fruit est une banane.,"{""Ce fruit est rouge"",""Ce fruit est bleu"",""Ce fruit est jaune"",""On ne peut pas savoir""}",Ce fruit est jaune,"Le syllogisme par transitivité nous apprend que si toutes les bananes sont jaunes et que ce fruit est une banane, nécessairement, ce fruit est jaune. Cela démontre comment caractériser un élément sur base de son appartenance à un groupe.",Identifiez la relation entre classe et attribut.,true
psychotechnique,raisonnement_logique,Facile,Quelle conclusion en tirer ?,Tous les éléphants ont une trompe. Dumbo est un éléphant.,"{""Dumbo n'a pas de trompe"",""Dumbo a une trompe"",""Dumbo est un oiseau"",""On ne peut pas savoir""}",Dumbo a une trompe,"En appliquant la transitivité du syllogisme, tous les éléphants ayant une trompe et Dumbo étant défini comme un éléphant, il s'ensuit nécessairement que Dumbo a une trompe. Un piège à éviter serait de penser à une exception non mentionnée parmi les éléphants.",Regardez comment les attributs s'associent aux catégories.,true
psychotechnique,raisonnement_logique,Facile,Quel est le bon ordre ?,Paul court plus vite que Louis. Louis court plus vite que Alain.,"{""Alain"",""Louis"",""Paul"",""On ne peut pas savoir""}",Paul,"Nous devons reconstituer la chaîne des vitesses : Paul > Louis > Alain. Ainsi, Paul est celui qui court le plus vite. Le danger réside dans un mauvais intervalle des comparaisons à cause d'une incompréhension des relations établies.",Regarde les comparaisons de vitesse entre les individus.,true
psychotechnique,raisonnement_logique,Facile,Qui pèse le plus lourd ?,Anna pèse plus que Carla. Carla pèse plus que Tom.,"{""Anna"",""Carla"",""Tom"",""On ne peut pas savoir""}",Anna,"En suivant l'ordre de poids, Anna > Carla > Tom. Anna est donc la plus lourde. Certaines erreurs consistent à perdre la chaîne du raisonnement ou à oublier les relations de supériorité décrites.",Pensez aux relations de poids décrites dans l'ordre.,true
psychotechnique,raisonnement_logique,Facile,Quel fruit est plus lourd ?,Le melon pèse plus que la poire. La poire pèse plus que la fraise.,"{""Melon"",""Poire"",""Fraise"",""On ne peut pas savoir""}",Melon,"L'ordre de poids ici est : Melon > Poire > Fraise. Le melon est donc le plus lourd. Certains candidats pourraient être tentés de mélanger les ordres, alors qu'il suffit de suivre les comparaisons établies.",Construisez l'ordre de poids à partir des comparaisons.,true
psychotechnique,raisonnement_logique,Facile,Qui arrive en premier ?,Alice termine avant Bob. Bob termine avant Chloé.,"{""Alice"",""Bob"",""Chloé"",""On ne peut pas savoir""}",Alice,L'ordre de finition est Alice > Bob > Chloé. Donc Alice termine en premier. Il est crucial de ne pas perdre de vue ces comparaisons explicites données par l'énoncé.,Classez les arrivées dans l'ordre donné.,true
psychotechnique,raisonnement_logique,Facile,Qui est le plus grand ?,Lucas est plus grand que Martin. Martin est plus grand que Jean.,"{""Lucas"",""Martin"",""Jean"",""On ne peut pas savoir""}",Lucas,Lucas > Martin > Jean. Donc Lucas est le plus grand. Le piège commun consiste à mal reconstituer cette hiérarchie pourtant simple.,Construisez la hiérarchie des tailles.,true
psychotechnique,raisonnement_logique,Facile,Quel animal est plus rapide ?,Le guépard est plus rapide que l'antilope. L'antilope est plus rapide que le lièvre.,"{""Guépard"",""Antilope"",""Lièvre"",""On ne peut pas savoir""}",Guépard,L'ordre de vitesse est : Guépard > Antilope > Lièvre. Le guépard est donc le plus rapide. Ne laissez pas l'ordre des mots vous confondre ; concentrez-vous sur la hiérarchie des vitesses.,Suivez l'ordre des vitesses données.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on conclure ?,"Si le chien aboie, alors le chat fuit. Le chien aboie.","{""Le chat fuit"",""Le chat dort"",""Le chat joue"",""On ne peut pas savoir""}",Le chat fuit,"Ceci est un exemple de modus ponens. Si l'énoncé dit que l'aboiement du chien entraîne la fuite du chat et que le chien aboie effectivement, alors inévitablement le chat fuit. La principale erreur ici serait d'imaginer un autre résultat possible non envisagé par la prémisse.",Applique la conséquence directe d'une condition vérifiée.,true
psychotechnique,raisonnement_logique,Facile,Que peut-on déduire ?,"Si Marie chante, alors les oiseaux s'envolent. Marie chante.","{""Les oiseaux s'envolent"",""Les oiseaux restent"",""Les oiseaux chantent"",""On ne peut pas savoir""}",Les oiseaux s'envolent,"Il s'agit d'un cas de modus ponens. L'implication de Marie chantant entraîne les oiseaux à s'envoler. La présence de la condition initiale garantit que la conséquence suit, ce qui exclut des conclusions alternatives telles que les oiseaux restant sur place.",Concentrez-vous sur la relation causale établie.,true
psychotechnique,raisonnement_logique,Facile,Que se passe-t-il si Jean grimpe ?,"Si Jean grimpe, alors il est fatigué. Jean grimpe.","{""Jean est fatigué"",""Jean dort"",""Jean court"",""On ne peut pas savoir""}",Jean est fatigué,"La condition stipule que l'action de grimper entraîne que Jean se fatigue. Comme il est donné qu'il grimpe, il faut en conclure qu'il est fatigué. Ne considérez pas d'autres états potentiels comme saugrenus que de conclure à l'épuisement.",Cherchez l'effet indiqué par l'action.,true
psychotechnique,raisonnement_logique,Facile,Quelle est l'implication ?,"Si Luc court, alors il transpire. Luc court.","{""Luc transpire"",""Luc se repose"",""Luc rit"",""On ne peut pas savoir""}",Luc transpire,"Selon le modus ponens, la condition nous dit que courir implique transpirer. Dès lors que Luc court, il doit obligatoirement transpirer. Toute conclusion autre que transpirer ignorerait directement la relation causale donnée.",Identifie l'effet direct de l'action donnée.,true
psychotechnique,raisonnement_logique,Moyenne,Qui est le plus âgé ?,Éric est plus âgé que Sam. Sam est aussi âgé que Paul. Paul est plus âgé que Tom.,"{""Éric"",""Sam"",""Paul"",""Tom""}",Éric,En analysant les relations : Éric > Sam = Paul > Tom. Éric est ainsi le plus âgé. Il convient de respecter chaque relation et d'éviter de supposer une égalité là où elle n'existe pas.,Reliez toutes les relations établies.,true
psychotechnique,raisonnement_logique,Moyenne,Qui est arrivé premier ?,Xavier est arrivé après Hugo. Hugo est arrivé avant Valentin. Valentin est arrivé juste après Chloé.,"{""Xavier"",""Hugo"",""Valentin"",""Chloé""}",Chloé,"En mettant les positions en ordre : Chloé > Valentin > Hugo > Xavier. Chloé est donc arrivée en première position. Il est aisé de se tromper en oubliant l'indice 'juste après', qui est crucial ici.",Reconstituez l'ordre complet et exact des arrivées.,true
psychotechnique,raisonnement_logique,Moyenne,Qui est le chef d'équipe ?,Le chef est plus âgé que Pascal. Pascal est plus âgé que Léa. Léa est plus âgée que le stagiaire.,"{""Le stagiaire"",""Léa"",""Pascal"",""Le chef""}",Le chef,En regroupant les données : Chef > Pascal > Léa > Stagiaire. Le chef est donc effectivement la personne la plus âgée. Le piège ici est de perdre la chaîne d'inférences logiques dans la multiplication des informations.,Suivez méticuleusement le fil des relations de vieillesse.,true
