module;category;difficulty;question;prompt;image_url;figure_data;options;answer;explanation;hint;is_active
psychotechnique;raisonnement_spatial;Facile;Quelle forme principale observe-t-on pour un cône vu de face ?;Il faut imaginer la projection du solide selon l'angle indiqué.;;"{""type"": ""view"", ""solid"": ""cône vu de face""}";"[{""key"": ""A"", ""label"": ""carré""}, {""key"": ""B"", ""label"": ""losange""}, {""key"": ""C"", ""label"": ""rectangle""}, {""key"": ""D"", ""label"": ""triangle""}]";D;La transformation mentale demandée est une projection visuelle. Pour un cône vu de face, la forme principale obtenue est « triangle ». Le piège est de répondre avec la forme de la base alors que la question précise l'angle de vue.;Identifier l'angle de vue.;true
psychotechnique;raisonnement_spatial;Moyenne;Quel cube obtient-on en pliant ce patron ?;Le patron de cube est décrit par six faces distinctes.;;"{""type"": ""cube_net"", ""layout"": ""T"", ""faces"": {""top"": ""★"", ""bottom"": ""●"", ""left"": ""◆"", ""right"": ""■"", ""front"": ""▲"", ""back"": ""▼""}}";"[{""key"": ""A"", ""label"": ""Dessus ● / face ▲ / droite ■"", ""folded"": {""description"": ""Dessus ● / face ▲ / droite ■""}}, {""key"": ""B"", ""label"": ""Dessus ★ / face ▲ / droite ◆"", ""folded"": {""description"": ""Dessus ★ / face ▲ / droite ◆""}}, {""key"": ""C"", ""label"": ""Dessus ★ / face ▼ / droite ■"", ""folded"": {""description"": ""Dessus ★ / face ▼ / droite ■""}}, {""key"": ""D"", ""label"": ""Dessus ★ / face ▲ / droite ■"", ""folded"": {""description"": ""Dessus ★ / face ▲ / droite ■""}}]";D;Il faut plier mentalement le patron en conservant les oppositions de faces. Les faces visibles retenues sont le dessus, la face avant et la face droite. Le piège consiste à confondre une face opposée avec une face adjacente.;Repérer d'abord les faces opposées.;true
psychotechnique;raisonnement_spatial;Difficile;Un cube 3×3×3 est peint puis découpé. Combien de petits cubes ont exactement 2 faces peintes ?;Les petits cubes avec exactement deux faces peintes sont sur les arêtes, hors sommets.;;"{""type"": ""painted_cube"", ""size"": 3}";"[{""key"": ""A"", ""label"": ""27""}, {""key"": ""B"", ""label"": ""12""}, {""key"": ""C"", ""label"": ""6""}, {""key"": ""D"", ""label"": ""8""}]";B;Un cube possède 12 arêtes. Sur chaque arête d'un cube 3×3×3, les cubes avec exactement deux faces peintes sont les 1 cubes hors sommets. On calcule donc 12 × (3-2) = 12.;Compter les cubes d'arête sans les coins.;true
psychotechnique;raisonnement_spatial;Facile;Quel cube obtient-on en pliant ce patron ?;Le patron de cube est décrit par six faces distinctes.;;"{""type"": ""cube_net"", ""layout"": ""T"", ""faces"": {""top"": ""⚑"", ""bottom"": ""✚"", ""left"": ""☐"", ""right"": ""◇"", ""front"": ""○"", ""back"": ""△""}}";"[{""key"": ""A"", ""label"": ""Dessus ⚑ / face ○ / droite ☐"", ""folded"": {""description"": ""Dessus ⚑ / face ○ / droite ☐""}}, {""key"": ""B"", ""label"": ""Dessus ⚑ / face ○ / droite ◇"", ""folded"": {""description"": ""Dessus ⚑ / face ○ / droite ◇""}}, {""key"": ""C"", ""label"": ""Dessus ⚑ / face △ / droite ◇"", ""folded"": {""description"": ""Dessus ⚑ / face △ / droite ◇""}}, {""key"": ""D"", ""label"": ""Dessus ✚ / face ○ / droite ◇"", ""folded"": {""description"": ""Dessus ✚ / face ○ / droite ◇""}}]";B;Il faut plier mentalement le patron en conservant les oppositions de faces. Les faces visibles retenues sont le dessus, la face avant et la face droite. Le piège consiste à confondre une face opposée avec une face adjacente.;Repérer d'abord les faces opposées.;true
psychotechnique;raisonnement_spatial;Moyenne;Un cube 5×5×5 est peint puis découpé. Combien de petits cubes ont exactement 2 faces peintes ?;Les petits cubes avec exactement deux faces peintes sont sur les arêtes, hors sommets.;;"{""type"": ""painted_cube"", ""size"": 5}";"[{""key"": ""A"", ""label"": ""125""}, {""key"": ""B"", ""label"": ""54""}, {""key"": ""C"", ""label"": ""36""}, {""key"": ""D"", ""label"": ""8""}]";C;Un cube possède 12 arêtes. Sur chaque arête d'un cube 5×5×5, les cubes avec exactement deux faces peintes sont les 3 cubes hors sommets. On calcule donc 12 × (5-2) = 36.;Compter les cubes d'arête sans les coins.;true
psychotechnique;raisonnement_spatial;Difficile;Un cube 3×3×3 est peint puis découpé. Combien de petits cubes ont exactement 2 faces peintes ?;Les petits cubes avec exactement deux faces peintes sont sur les arêtes, hors sommets.;;"{""type"": ""painted_cube"", ""size"": 3}";"[{""key"": ""A"", ""label"": ""8""}, {""key"": ""B"", ""label"": ""27""}, {""key"": ""C"", ""label"": ""12""}, {""key"": ""D"", ""label"": ""6""}]";C;Un cube possède 12 arêtes. Sur chaque arête d'un cube 3×3×3, les cubes avec exactement deux faces peintes sont les 1 cubes hors sommets. On calcule donc 12 × (3-2) = 12.;Compter les cubes d'arête sans les coins.;true
psychotechnique;raisonnement_spatial;Facile;Combien de faces possède un prisme triangulaire ?;Question de propriétés géométriques des solides.;;;"[{""key"": ""A"", ""label"": ""8 faces""}, {""key"": ""B"", ""label"": ""4 faces""}, {""key"": ""C"", ""label"": ""6 faces""}, {""key"": ""D"", ""label"": ""5 faces""}]";D;On compte les faces planes du solide prisme triangulaire. La bonne réponse est 5 faces, car chaque face correspond à une surface plane visible ou cachée. Le piège est de confondre faces, arêtes et sommets.;Distinguer face, arête et sommet.;true
psychotechnique;raisonnement_spatial;Moyenne;Un cube 5×5×5 est peint puis découpé. Combien de petits cubes ont exactement 2 faces peintes ?;Les petits cubes avec exactement deux faces peintes sont sur les arêtes, hors sommets.;;"{""type"": ""painted_cube"", ""size"": 5}";"[{""key"": ""A"", ""label"": ""125""}, {""key"": ""B"", ""label"": ""54""}, {""key"": ""C"", ""label"": ""8""}, {""key"": ""D"", ""label"": ""36""}]";D;Un cube possède 12 arêtes. Sur chaque arête d'un cube 5×5×5, les cubes avec exactement deux faces peintes sont les 3 cubes hors sommets. On calcule donc 12 × (5-2) = 36.;Compter les cubes d'arête sans les coins.;true
psychotechnique;raisonnement_spatial;Difficile;Combien de faces possède un tétraèdre régulier ?;Question de propriétés géométriques des solides.;;;"[{""key"": ""A"", ""label"": ""12 faces""}, {""key"": ""B"", ""label"": ""6 faces""}, {""key"": ""C"", ""label"": ""4 faces""}, {""key"": ""D"", ""label"": ""8 faces""}]";C;On compte les faces planes du solide tétraèdre régulier. La bonne réponse est 4 faces, car chaque face correspond à une surface plane visible ou cachée. Le piège est de confondre faces, arêtes et sommets.;Distinguer face, arête et sommet.;true
psychotechnique;raisonnement_spatial;Facile;Quelle forme principale observe-t-on pour un cône vu de face ?;Il faut imaginer la projection du solide selon l'angle indiqué.;;"{""type"": ""view"", ""solid"": ""cône vu de face""}";"[{""key"": ""A"", ""label"": ""triangle""}, {""key"": ""B"", ""label"": ""losange""}, {""key"": ""C"", ""label"": ""carré""}, {""key"": ""D"", ""label"": ""rectangle""}]";A;La transformation mentale demandée est une projection visuelle. Pour un cône vu de face, la forme principale obtenue est « triangle ». Le piège est de répondre avec la forme de la base alors que la question précise l'angle de vue.;Identifier l'angle de vue.;true
