module;category;difficulty;question;prompt;options;answer;explanation;hint;is_active
psychotechnique;logique_verbale;Facile;Quel est l'antonyme de « stable » ?;;"[""instable"", ""fixe"", ""solide"", ""calme""]";instable;La bonne réponse est « instable », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (fixe, solide, calme) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher le sens opposé.;true
psychotechnique;logique_verbale;Moyenne;Malgré la pluie, il a ___ son chemin.;Complète la phrase avec le mot le plus juste.;"[""rangé"", ""poursuivi"", ""éteint"", ""abandonné""]";poursuivi;La bonne réponse est « poursuivi », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (rangé, éteint, abandonné) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Vérifier le sens et la grammaire.;true
psychotechnique;logique_verbale;Difficile;Médecin est à stéthoscope comme policier est à ___;Complète l'analogie.;"[""marteau"", ""boussole"", ""pinceau"", ""radio""]";radio;La bonne réponse est « radio », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (marteau, boussole, pinceau) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Identifier la relation entre les deux premiers termes.;true
psychotechnique;logique_verbale;Facile;Quel est le synonyme de « rapide » ?;;"[""fragile"", ""lent"", ""prompt"", ""bruyant""]";prompt;La bonne réponse est « prompt », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (fragile, lent, bruyant) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher un mot de sens proche.;true
psychotechnique;logique_verbale;Moyenne;Quel est l'antonyme de « opaque » ?;;"[""transparent"", ""fermé"", ""épais"", ""sombre""]";transparent;La bonne réponse est « transparent », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (fermé, épais, sombre) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher le sens opposé.;true
psychotechnique;logique_verbale;Difficile;Quel est l'antonyme de « prudent » ?;;"[""posé"", ""attentif"", ""imprudent"", ""réfléchi""]";imprudent;La bonne réponse est « imprudent », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (posé, attentif, réfléchi) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher le sens opposé.;true
psychotechnique;logique_verbale;Facile;Quel est le synonyme de « prolixe » ?;;"[""bavard"", ""discret"", ""bref"", ""silencieux""]";bavard;La bonne réponse est « bavard », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (discret, bref, silencieux) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher un mot de sens proche.;true
psychotechnique;logique_verbale;Moyenne;Lequel de ces mots est l'intrus ?;cuivre, fer, violon, zinc;"[""cuivre"", ""fer"", ""zinc"", ""violon""]";violon;La bonne réponse est « violon », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (cuivre, fer, zinc) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher la catégorie commune.;true
psychotechnique;logique_verbale;Difficile;Le témoin donne une version ___ des faits.;Complète la phrase avec le mot le plus juste.;"[""carrée"", ""bruyante"", ""liquide"", ""cohérente""]";cohérente;La bonne réponse est « cohérente », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (carrée, bruyante, liquide) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Vérifier le sens et la grammaire.;true
psychotechnique;logique_verbale;Facile;Quel est le synonyme de « méticuleux » ?;;"[""impatient"", ""violent"", ""négligent"", ""soigneux""]";soigneux;La bonne réponse est « soigneux », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (impatient, violent, négligent) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher un mot de sens proche.;true
psychotechnique;logique_verbale;Moyenne;Lequel de ces mots est l'intrus ?;lundi, mardi, janvier, jeudi;"[""janvier"", ""mardi"", ""lundi"", ""jeudi""]";janvier;La bonne réponse est « janvier », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (mardi, lundi, jeudi) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher la catégorie commune.;true
psychotechnique;logique_verbale;Difficile;Quel est le synonyme de « cohérent » ?;;"[""fuyant"", ""logique"", ""isolé"", ""confus""]";logique;La bonne réponse est « logique », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (fuyant, isolé, confus) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher un mot de sens proche.;true
psychotechnique;logique_verbale;Facile;Lequel de ces mots est l'intrus ?;pomme, poire, carotte, banane;"[""poire"", ""banane"", ""pomme"", ""carotte""]";carotte;La bonne réponse est « carotte », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (poire, banane, pomme) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Chercher la catégorie commune.;true
psychotechnique;logique_verbale;Moyenne;Dans « la pièce était jointe au dossier », le mot pièce signifie :;Sens contextuel.;"[""document"", ""salle"", ""morceau"", ""monnaie""]";document;La bonne réponse est « document », car c'est le seul choix qui respecte exactement la relation demandée par l'énoncé. Les autres propositions (salle, morceau, monnaie) sont proches ou plausibles, mais elles ne conviennent pas au sens précis de la question. Le bon réflexe est d'identifier d'abord le type de relation : synonyme, contraire, catégorie, analogie ou contexte.;Lire la phrase avant de choisir.;true
