module;category;difficulty;question;prompt;options;answer;explanation;hint;is_active
psychotechnique;raisonnement_logique;Facile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 18 ans.;"[""51"", ""21"", ""57"", ""54""]";54;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 54 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Que peut-on conclure ?;Si le dossier est complet, alors il est transmis. Le dossier est complet.;"[""Le dossier est transmis."", ""Le dossier n'est pas transmis."", ""Le dossier est incomplet."", ""On ne peut pas savoir.""]";Le dossier est transmis.;La structure logique est un modus ponens. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Le dossier est transmis. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Qui est le plus rapide ?;Lucas est plus rapide que Sarah. Sarah est plus rapide que Yanis. Yanis est plus rapide que Clara.;"[""Sarah"", ""Clara"", ""Yanis"", ""Lucas""]";Lucas;La structure logique est un transitivité d'ordre. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Lucas ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quelle conclusion est forcément vraie ?;Tous les véhicules de service sont contrôlés. Ce rapport appartient à la catégorie « véhicules de service ».;"[""Ce rapport n'est pas contrôlés."", ""On ne peut rien conclure."", ""Tous les éléments contrôlés sont des véhicules de service."", ""Ce rapport est contrôlés.""]";Ce rapport est contrôlés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Ce rapport est contrôlés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Quelle est maintenant votre position ?;Vous participez à une course. Vous doublez le deuxième.;"[""Deuxième"", ""Troisième"", ""Dernier"", ""Premier""]";Deuxième;La structure logique est un piège classique de position. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Deuxième ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quelle conclusion est forcément vraie ?;Tous les véhicules de service sont archivés. Ce véhicule appartient à la catégorie « véhicules de service ».;"[""On ne peut rien conclure."", ""Tous les éléments archivés sont des véhicules de service."", ""Ce véhicule est archivés."", ""Ce véhicule n'est pas archivés.""]";Ce véhicule est archivés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Ce véhicule est archivés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 14 ans.;"[""45"", ""39"", ""17"", ""42""]";42;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 42 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 9 ans.;"[""12"", ""24"", ""27"", ""30""]";27;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 27 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quelle conclusion est forcément vraie ?;Tous les véhicules de service sont autorisés. Cet agent appartient à la catégorie « véhicules de service ».;"[""Cet agent n'est pas autorisés."", ""Tous les éléments autorisés sont des véhicules de service."", ""On ne peut rien conclure."", ""Cet agent est autorisés.""]";Cet agent est autorisés.;La structure logique est un syllogisme par appartenance. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Cet agent est autorisés. ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Facile;Qui est le plus rapide ?;Yanis est plus rapide que Nora. Nora est plus rapide que Lucas. Lucas est plus rapide que Sarah.;"[""Sarah"", ""Yanis"", ""Lucas"", ""Nora""]";Yanis;La structure logique est un transitivité d'ordre. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Yanis ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Moyenne;Qui est le plus rapide ?;Nora est plus rapide que Lucas. Lucas est plus rapide que Clara. Clara est plus rapide que Sarah.;"[""Nora"", ""Lucas"", ""Sarah"", ""Clara""]";Nora;La structure logique est un transitivité d'ordre. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « Nora ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
psychotechnique;raisonnement_logique;Difficile;Quel âge a cette personne ?;Une personne a actuellement trois fois l'âge de son fils. Le fils a 10 ans.;"[""30"", ""33"", ""13"", ""27""]";30;La structure logique est un équation multiplicative simple. On part des prémisses données, puis on applique uniquement ce qui est explicitement autorisé par l'énoncé. La conclusion correcte est donc « 30 ». Le piège consiste à inverser la relation, à ajouter une hypothèse cachée ou à répondre intuitivement sans dérouler les étapes.;Réécris les informations sous forme de flèches ou d'ordre.;true
