module;category;difficulty;question;prompt;stimulus;options;answer;explanation;hint;is_active
psychotechnique;concentration;Facile;Combien de chiffres « 7 » contient la suite ?;Comptez uniquement le chiffre demandé.;6528914374131321997;"[""3"", ""2"", ""4"", ""1""]";2;Le chiffre « 7 » apparaît aux positions [9, 19], soit 2 occurrence(s). Les autres réponses sont des erreurs typiques de +1 ou -1. La méthode fiable est de regrouper mentalement la suite par paquets de trois caractères.;Faire des groupes de trois.;true
psychotechnique;concentration;Moyenne;Quelle lettre est l'intrus dans la suite ?;La suite suit normalement les lettres paires de l'alphabet.;B D K F H J L;"[""B"", ""L"", ""D"", ""K""]";K;L'intrus est « K » car la suite attend des lettres placées une position sur deux dans l'alphabet. Les autres lettres respectent la progression régulière. Le piège consiste à regarder seulement l'ordre alphabétique sans vérifier le saut constant.;Convertir les lettres en positions alphabétiques.;true
psychotechnique;concentration;Difficile;Quelle lettre est l'intrus dans la suite ?;La suite suit normalement les lettres paires de l'alphabet.;B M D F H J L;"[""L"", ""M"", ""D"", ""B""]";M;L'intrus est « M » car la suite attend des lettres placées une position sur deux dans l'alphabet. Les autres lettres respectent la progression régulière. Le piège consiste à regarder seulement l'ordre alphabétique sans vérifier le saut constant.;Convertir les lettres en positions alphabétiques.;true
psychotechnique;concentration;Facile;Combien de chiffres « 9 » contient la suite ?;Comptez uniquement le chiffre demandé.;531641876731648919994;"[""3"", ""6"", ""5"", ""4""]";4;Le chiffre « 9 » apparaît aux positions [16, 18, 19, 20], soit 4 occurrence(s). Les autres réponses sont des erreurs typiques de +1 ou -1. La méthode fiable est de regrouper mentalement la suite par paquets de trois caractères.;Faire des groupes de trois.;true
psychotechnique;concentration;Moyenne;Quelle séquence est strictement identique au modèle ?;Modèle : PV-492-CA-38;Comparez les propositions au modèle.;"[""VP-492-CA-38"", ""PV-492-CA-38"", ""PV-492-CA-39"", ""PV 492-CA-38""]";PV-492-CA-38;La séquence correcte est « PV-492-CA-38 » car elle reprend exactement tous les caractères du modèle. Les autres propositions changent un tiret, un chiffre ou l'ordre des lettres. Le piège est de lire le code globalement au lieu de vérifier chaque caractère.;Comparer caractère par caractère.;true
psychotechnique;concentration;Difficile;Combien de chiffres « 4 » contient la suite ?;Comptez uniquement le chiffre demandé.;932288115586527158276118;"[""0"", ""1"", ""5"", ""2""]";0;Le chiffre « 4 » apparaît aux positions [], soit 0 occurrence(s). Les autres réponses sont des erreurs typiques de +1 ou -1. La méthode fiable est de regrouper mentalement la suite par paquets de trois caractères.;Faire des groupes de trois.;true
psychotechnique;concentration;Facile;Combien de voyelles majuscules contient cette phrase ?;Comptez uniquement A, E, I, O, U, Y en majuscule.;PV URGENT : ALEX NOTE 48 CODES ET 12 AVIS.;"[""12"", ""13"", ""11"", ""10""]";11;Les voyelles majuscules sont aux positions [4, 7, 13, 15, 19, 21, 27, 29, 32, 38, 40], soit 11 au total. Les chiffres et consonnes ne doivent pas être comptés. Le piège est d'inclure les lettres minuscules ou de compter les espaces et la ponctuation.;Ne compter que les voyelles majuscules.;true
psychotechnique;concentration;Moyenne;Quelle lettre est l'intrus dans la suite ?;La suite suit normalement les lettres paires de l'alphabet.;B D F H J M L;"[""B"", ""D"", ""L"", ""M""]";M;L'intrus est « M » car la suite attend des lettres placées une position sur deux dans l'alphabet. Les autres lettres respectent la progression régulière. Le piège consiste à regarder seulement l'ordre alphabétique sans vérifier le saut constant.;Convertir les lettres en positions alphabétiques.;true
psychotechnique;concentration;Difficile;Combien de fois la lettre « E » apparaît-elle dans cette phrase, majuscule ou minuscule ?;Comptez attentivement chaque occurrence.;ALERTE AU PARC ARAGON AVANT ARRIVEE APPUI.;"[""4"", ""6"", ""3"", ""5""]";4;La lettre « E » apparaît aux positions [3, 6, 34, 35], soit 4 occurrence(s). Les distracteurs correspondent à un oubli ou à un comptage en trop. La bonne méthode consiste à balayer la phrase par petits groupes de mots.;Balayer lentement de gauche à droite.;true
psychotechnique;concentration;Facile;Quelle séquence est strictement identique au modèle ?;Modèle : PV-169-AB-12;Comparez les propositions au modèle.;"[""PV-169-AB-12"", ""PV 169-AB-12"", ""PV-169-AB-13"", ""VP-169-AB-12""]";PV-169-AB-12;La séquence correcte est « PV-169-AB-12 » car elle reprend exactement tous les caractères du modèle. Les autres propositions changent un tiret, un chiffre ou l'ordre des lettres. Le piège est de lire le code globalement au lieu de vérifier chaque caractère.;Comparer caractère par caractère.;true
psychotechnique;concentration;Moyenne;Combien de chiffres « 5 » contient la suite ?;Comptez uniquement le chiffre demandé.;845365688515886137851;"[""5"", ""4"", ""7"", ""6""]";5;Le chiffre « 5 » apparaît aux positions [3, 6, 10, 12, 20], soit 5 occurrence(s). Les autres réponses sont des erreurs typiques de +1 ou -1. La méthode fiable est de regrouper mentalement la suite par paquets de trois caractères.;Faire des groupes de trois.;true
psychotechnique;concentration;Difficile;Quelle lettre est l'intrus dans la suite ?;La suite suit normalement les lettres paires de l'alphabet.;B D F P H J L;"[""B"", ""P"", ""L"", ""D""]";P;L'intrus est « P » car la suite attend des lettres placées une position sur deux dans l'alphabet. Les autres lettres respectent la progression régulière. Le piège consiste à regarder seulement l'ordre alphabétique sans vérifier le saut constant.;Convertir les lettres en positions alphabétiques.;true
psychotechnique;concentration;Facile;Combien de fois la lettre « R » apparaît-elle dans cette phrase, majuscule ou minuscule ?;Comptez attentivement chaque occurrence.;Le rapport relate rapidement la remarque relevée par la patrouille.;"[""11"", ""9"", ""8"", ""10""]";9;La lettre « R » apparaît aux positions [4, 9, 12, 19, 33, 37, 42, 52, 60], soit 9 occurrence(s). Les distracteurs correspondent à un oubli ou à un comptage en trop. La bonne méthode consiste à balayer la phrase par petits groupes de mots.;Balayer lentement de gauche à droite.;true
