module,category,difficulty,sequence_text,prompt,options,answer,explanation,hint,is_active
psychotechnique,suite_logique,Facile,"1, ?, 9, 16, 25",Quel terme manque ?,"{""4"",""3"",""5""}",4,"La suite suit les carrés parfaits : 1, 4, 9, 16, où 2² = 4. Le doute survient souvent dans la reconnaissance des carrés.",Pense à des carrés entiers.,true
psychotechnique,suite_logique,Facile,"1, 1, 2, ?, 5, 8",Quel terme manque ?,"{""3"",""4"",""2""}",3,Cette suite est une suite de Fibonacci : 1 + 2 = 3. Le piège ici est d'oublier cette règle spéciale.,Additionne les deux termes précédents.,true
psychotechnique,suite_logique,Facile,"30, 25, ?, 15, 10",Quel terme manque ?,"{""20"",""22"",""18""}",20,La suite diminue de 5 à chaque étape : 25 - 5 = 20. Le piège est de penser à une multiplication ou division.,Soustrais constamment 5.,true
psychotechnique,suite_logique,Facile,"8, 16, 24, ?, 40",Quel terme manque ?,"{""32"",""28"",""30""}",32,Chaque terme augmente de 8 : 24 + 8 = 32. Un piège séduit souvent avec la tentation de doubler les termes.,Augmente de manière régulière.,true
psychotechnique,suite_logique,Facile,"100, ?, 80, 70, 60",Quel terme manque ?,"{""90"",""85"",""75""}",90,La suite diminue de 10 : 100 - 10 = 90. Le piège typique est de supposer une division ou une décroissance irrégulière.,Une simple soustraction suffit.,true
psychotechnique,suite_logique,Moyenne,"1, 4, 9, ?, 25, 36",Quel terme manque ?,"{""16"",""15"",""14""}",16,"La suite suit les carrés : 1², 2², 3², 4². Le terme manquant est 4² = 16. Le piège est de penser à une multiplication simple.",Pense aux puissances de 2.,true
psychotechnique,suite_logique,Moyenne,"3, 5, 8, 12, ?, 21",Quel terme manque ?,"{""17"",""16"",""15""}",17,"La suite est une progression avec l'ajout suivant : +2, +3, +4, +5. Donc 12 + 5 = 17. Attention à ne pas mélanger avec des suites de Fibonacci.",Étudie l'augmentation successive.,true
psychotechnique,suite_logique,Moyenne,"5, 13, 21, ?, 37",Quel terme manque ?,"{""29"",""27"",""31""}",29,"La différence est de +8 : 13 - 5 = 8, 21 - 13 = 8. Donc, 21 + 8 = 29. La confusion survient souvent avec les suites géométriques.",Observe une croissance constante.,true
psychotechnique,suite_logique,Moyenne,"3, 7, 13, ?, 31",Quel terme manque ?,"{""21"",""23"",""19""}",21,"Les ajouts sont de +4, +6, +8. Le terme manquant est 13 + 8 = 21. Confondre avec une multiplication simple est un piège courant.",Note une progression dans les ajouts.,true
psychotechnique,suite_logique,Moyenne,"2, 5, 11, ?, 29",Quel terme manque ?,"{""17"",""18"",""16""}",17,"La progression impose l'ajout des nombres premiers : 2 + 3 = 5, 5 + 6 = 11. Ainsi, 11 + 6 = 17. Le piège est d'ajouter de manière arithmétique classique.",Songe aux nombres premiers.,true
psychotechnique,suite_logique,Moyenne,"2, 10, 50, ?, 1250",Quel terme manque ?,"{""250"",""300"",""400""}",250,Chaque terme est multiplié par 5 : 50 × 5 = 250. Le piège est de chercher une addition ou une sous-séquence.,Multiplie constamment par un petit nombre.,true
psychotechnique,suite_logique,Moyenne,"3, 7, 14, ?, 37",Quel terme manque ?,"{""28"",""25"",""22""}",28,"Chaque terme double du précédent, puis augmente de +1. 14 × 2 = 28. Ne pas voir ni l'une ni l'autre des règles peut induire en erreur.",Inclut addition après multiplication.,true
psychotechnique,suite_logique,Moyenne,"1, 1, 3, 5, ?, 11",Quel terme manque ?,"{""8"",""7"",""9""}",8,"Les additions progressent de +1, +2, et +3. Voir une seule règle de +2 est un piège.",La particularité réside dans la progression des additions.,true
psychotechnique,suite_logique,Moyenne,"2, 6, 14, ?, 38",Quel terme manque ?,"{""30"",""26"",""22""}",30,"Une progression +2, +4, +6, +8, 6+8=14 puis 14+16=30. L'erreur courante est de penser à une simple multiplication.",Addition progressive cachée.,true
psychotechnique,suite_logique,Moyenne,"5, 10, 17, ?, 37",Quel terme manque ?,"{""26"",""23"",""25""}",26,"Chaque terme passe par un +5, +7, +9, +11. Confondre avec une suite géométrique ou Fibonacci est fréquent.",Vérifie une croissance régulière dans les différences.,true
psychotechnique,suite_logique,Moyenne,"15, 30, 45, ?, 90",Quel terme manque ?,"{""60"",""55"",""65""}",60,La suite progresse par addition de 15 : 45 + 15 = 60. Le piège typique est la confusion avec une multiplication.,Addition répétée d'un même nombre.,true
psychotechnique,suite_logique,Difficile,"2, 3, 5, 8, 12, ?, 25",Quel terme manque ?,"{""17"",""18"",""19""}",19,"C'est une suite de Fibonacci variant par plus 1 : 2+3=5, 3+5=8, 5+8=13 (moins 1), 8+12=20 (moins 1), donc 12+13=25. Le piège est de basculer en traditionnel Fibonacci.",Intégration cachée d'additions.,true
psychotechnique,suite_logique,Difficile,"3, 5, 11, 17, ?, 41",Quel terme manque ?,"{""29"",""30"",""31""}",29,Suite de nombres premiers. Les constater comme produits est séduisant mais incongru.,Identifie les nombres distinctivement particuliers.,true
psychotechnique,suite_logique,Difficile,"1, 2, 4, 7, 11, 16, ?, 29",Quel terme manque ?,"{""22"",""24"",""25""}",22,"La suite adopte des progressions croissantes de +1, +2, +3, +4, +5, +6. Le terme manquant est 16+6=22. Un échappatoire commun est de rester dans un seul modèle d'arithmétique.",Focus sur une succession croissante des ajouts.,true
psychotechnique,suite_logique,Difficile,"5, 10, 18, ?, 38, 61",Quel terme manque ?,"{""27"",""26"",""28""}",27,"La base grandissante des additions montre +5, +8, +9, +13. Un écueil se tromper sur le modèle dominant.",Réfère aux gaps en expansion croissante.,true
psychotechnique,suite_logique,Difficile,"2, 3, 7, 12, ?, 31",Quel terme manque ?,"{""19"",""21"",""20""}",19,"Utilise l'ajout des termes passés plus 1, +4, +5, +7, doublant chaque étape post-ajouts. Usuellement négligé à tort pour sa complexité.",Multiplication et addition s'imbriquent distinctivement.,true
psychotechnique,suite_logique,Difficile,"4, 6, 12, 24, 32, ?, 64",Quel terme manque ?,"{""56"",""48"",""52""}",56,"Les additions doublent : +2, +6, +12, +24, +32, +56. Associer à un multiplicande régulier est une erreur souvent vue.",Cela explore un modèle de doublement croissant.,true
psychotechnique,suite_logique,Difficile,"1, 3, 7, 13, ?, 31",Quel terme manque ?,"{""21"",""18"",""25""}",21,"Mandat demande une addition +2, +4, +6, +8, d'où 13+8=21. La tendance d'aller vers une multiplication reste non pertinente.",Addition séquentielle centrale s'offre à fixation.,true
psychotechnique,suite_logique,Difficile,"0, 1, 4, 9, 16, ?, 36",Quel terme manque ?,"{""25"",""24"",""26""}",25,"C'est une suite de carrés parfaits : 0², 1², 2², etc. La confusion viendrait d'un essai d'une suite arithmétique.",Chaque terme représente le carré d'un nombre.,true
psychotechnique,suite_logique,Difficile,"2, 6, 12, ?, 30, 42",Quel terme manque ?,"{""20"",""22"",""18""}",20,"Les terminaisons suivent +2, +6, +8, +10, rendant 12+8=20. La difficulté principale est de perdre de vue la logique.",La structure repose sur une stratégie d'ajout augmentant graduellement.,true
psychotechnique,suite_logique,Difficile,"1, 3, 8, 21, ?, 89",Quel terme manque ?,"{""55"",""34"",""33""}",55,"C'est une variante de Fibonacci : 1+2=3, 3+5=8, 8+13=21, mais 21+34=55. Un piège est d'appliquer une anecdote déjà vue.",Aperçu sur la somme des deux termes printaniers.,true
psychotechnique,suite_logique,Difficile,"2, 5, 10, ?, 34",Quel terme manque ?,"{""13"",""17"",""20""}",17,"À chaque étape augmente les additions en +3, +5, +7. Ne pas découpler d'autres mécanismes est un piège.",L'asymptote est une constant impliquant l'addition croissante.,true
