module,category,difficulty,question,prompt,image_url,figure_data,options,answer,explanation,hint,is_active
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède une pyramide à base carrée ?,,,,"[{""key"":""A"",""label"":""3""},{""key"":""B"",""label"":""4""},{""key"":""C"",""label"":""5""},{""key"":""D"",""label"":""6""}]",C,"Une pyramide à base carrée a une base composée d'un carré et quatre faces triangulaires qui convergent vers un sommet. En tout, cela fait 5 faces. Ne pas oublier de compter la base, ce qui est souvent négligé.",,true
psychotechnique,raisonnement_spatial,Facile,Combien de sommets possède un cylindre ?,,,,"[{""key"":""A"",""label"":""0""},{""key"":""B"",""label"":""2""},{""key"":""C"",""label"":""4""},{""key"":""D"",""label"":""6""}]",A,"Un cylindre est un solide de révolution formé par deux cercles reliés par une surface latérale courbe. Il n'a pas de coins ou de sommets, contrairement à un polyèdre. Confondre avec des points de contact des bases peut être une erreur commune.",,true
psychotechnique,raisonnement_spatial,Facile,"Si l'on peint toutes les faces d'un cube, combien de ses coins auront trois faces peintes ?",,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",C,"Un cube possède 8 sommets, et chacun est un coin où trois faces se rencontrent. Si toutes les faces sont peintes, ces 8 coins auront trois faces peintes. Ne pas réaliser que chaque sommet est une intersection de trois faces est un piège courant.",,true
psychotechnique,raisonnement_spatial,Facile,Quel est le nombre total de faces d'un prisme triangulaire ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""5""},{""key"":""C"",""label"":""6""},{""key"":""D"",""label"":""8""}]",B,"Un prisme triangulaire a deux bases triangulaires parallèles et trois faces latérales rectangulaires. En total, il y a 5 faces. Compter uniquement les faces latérales ou les bases peut mener à une réponse erronée.",,true
psychotechnique,raisonnement_spatial,Facile,Quel est le nombre total de sommets d'un cube ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",C,"Un cube a 8 sommets, étant donné que chaque coin est un sommet où trois faces se rejoignent. Compter uniquement les sommets sur une seule face ou ignorer les coins diagonaux peut induire une erreur dans ce calcul.",,true
psychotechnique,raisonnement_spatial,Facile,Combien de faces possède un cuboïde ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""10""}]",B,"Un cuboïde, comme le cube, a 6 faces, mais elles ne sont pas nécessairement carrées. Chaque paire de faces opposées est identique, ce qui reste vrai pour un cuboïde. Parfois, la confusion se fait avec le nombre d'arêtes ou de sommets.",,true
psychotechnique,raisonnement_spatial,Facile,"Quel solide est formé par la réunion d'un rectangle et d'un triangle, tous deux partant d'une même base ?",Pense à un solide qui se trouve souvent sur les toits ou dans des constructions architecturales.,,,"[{""key"":""A"",""label"":""Prisme triangulaire""},{""key"":""B"",""label"":""Pyramide à base rectangulaire""},{""key"":""C"",""label"":""Cylindre""},{""key"":""D"",""label"":""Prisme rectangulaire""}]",A,"Un prisme triangulaire se compose de deux bases triangulaires et de trois faces latérales rectangulaires. Cette réunion de formes pour un prisme une fois extrudé sur son axe, correspond bien au nom donné.",Imagine un toit triangulaire avec des murs rectangulaires latéraux.,true
psychotechnique,raisonnement_spatial,Facile,"Parmi les patrons suivants, lequel forme un cube une fois plié ?",Considérez différents assemblages de 6 carrés.,,,"[{""key"":""A"",""label"":""Une croix latine""},{""key"":""B"",""label"":""Un T renversé""},{""key"":""C"",""label"":""Un L de 5 carrés et 1 carré isolé""},{""key"":""D"",""label"":""Une ligne de 6 carrés""}]",A,"Une croix latine, composée de 5 carrés alignés avec un au centre, forme un cube car elle permet de replier correctement tous les côtés pour refermer le volume. Les autres formes ne permettent pas ce type de pliage.",Imagine le pliage de chaque extrémité de la croix vers le centre.,true
psychotechnique,raisonnement_spatial,Facile,Quelle est la forme résultante de la coupe d'un cylindre par un plan passant par son axe ?,Pensez à sectionner un cylindre verticalement de manière efficace.,,,"[{""key"":""A"",""label"":""Rectangle""},{""key"":""B"",""label"":""Ellipse""},{""key"":""C"",""label"":""Cercle""},{""key"":""D"",""label"":""Trapèze""}]",A,"Couper un cylindre le long de son axe produit une forme rectangulaire car les deux cercles sont coupés en lignes droites parallèles, formant ainsi la largeur, et la surface latérale dépliée forme la hauteur du rectangle.",Toutes les sections passant par l'axe central d'un cylindre sont rectangulaires.,true
psychotechnique,raisonnement_spatial,Facile,Quel est le nombre total de sommets d'un octaèdre régulier ?,,,,"[{""key"":""A"",""label"":""4""},{""key"":""B"",""label"":""6""},{""key"":""C"",""label"":""8""},{""key"":""D"",""label"":""12""}]",B,"Un octaèdre régulier, composé de 8 faces triangulaires, possède 6 sommets, chaque sommet étant le point de rencontre entre 4 arêtes. La confusion est fréquente avec des solides ayant des pointes plus nombreuses comme le dodécaèdre.",,true
