module,category,difficulty,question,prompt,options,answer,explanation,hint,is_active
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « ouvert » ?,,"{""Fermé"",""Large"",""Transparent"",""Vaste""}",Fermé,"L'antonyme de « ouvert », qui signifie qu'un objet n'oppose pas de barrière, est « fermé ». Les autres options, « large », « transparent » et « vaste », ne s'opposent pas directement au concept de « ouvert ».",Pensez à un état qui empêche le passage.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Chat, Chien, Cheval, Cerise","{""Chat"",""Chien"",""Cheval"",""Cerise""}",Cerise,"« Cerise » est un fruit, alors que les autres mots désignent des animaux domestiques ou familiers. Cette distinction de catégorie fait de « cerise » l'intrus. Les animaux mentionnés s'inscrivent plutôt dans le règne animal.",Réfléchissez à la catégorie alimentaire.,true
psychotechnique,logique_verbale,Facile,"Complète la phrase : ""Pour ouvrir le coffre, il a tourné la clé dans la ___.""",,"{""Serrure"",""Poignée"",""Fenêtre"",""Clôture""}",Serrure,"Dans cette phrase, « tourner la clé dans la serrure » décrit l'action précise de déverrouiller quelque chose. « Poignée » pourrait être confondante mais elle est généralement tenue, pas tournée. « Fenêtre » et « clôture » ne sont pas des dispositifs de verrouillage.",Pensez à ce qui garde les portes fermées.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « difficile » ?,,"{""Facile"",""Dur"",""Complexe"",""Impraticable""}",Facile,"« Facile » est le contraire de « difficile », indiquant quelque chose qui ne pose pas de problème. Les mots « dur », « complexe » et « impraticable » sont plutôt proches du concept de difficulté.",Cherchez un mot qui suggère l'aisance.,true
psychotechnique,logique_verbale,Facile,Quel est le synonyme de « petit » ?,,"{""Grand"",""Minuscule"",""Énorme"",""Large""}",Minuscule,"« Minuscule » est un synonyme de « petit », décrivant quelque chose de très réduit en taille. « Grand », « énorme » et « large » sont au contraire des termes indiquant la grandeur ou l'ampleur.",Pensez à quelque chose de très réduit.,true
psychotechnique,logique_verbale,Facile,"Dans cette phrase, le mot ""banc"" signifie : ""Les élèves se sont assis sur le banc dans la cour.""",,"{""Mobilier"",""Institution financière"",""Rangée de poisson"",""Montagne""}",Mobilier,"Ici, « banc » désigne un objet de mobilier sur lequel on peut s'asseoir, surtout dans des lieux publics. « Institution financière », « rangée de poisson » et « montagne » sont des significations du mot « banc » dans d'autres contextes.",Réfléchissez à l'endroit où l'on s'assied souvent.,true
psychotechnique,logique_verbale,Facile,Lequel de ces mots est l'intrus ?,"Vert, Bleu, Lèvre, Rouge","{""Vert"",""Bleu"",""Lèvre"",""Rouge""}",Lèvre,"« Lèvre » est l'intrus car c'est une partie du corps, tandis que « vert », « bleu » et « rouge » sont des couleurs. Les trois couleurs partagent une catégorie commune, ce qui les oppose au mot « lèvre ».","Parmi eux, un mot n'est pas une couleur.",true
psychotechnique,logique_verbale,Facile,"Complète la phrase : ""La pluie a mouillé le ___ du pêcheur.""",,"{""Chapeau"",""Lac"",""Soleil"",""Glace""}",Chapeau,"Dans cette phrase, un « chapeau » est un vêtement porté qui peut être mouillé par la pluie. Les options « lac », « soleil » et « glace » ne sont pas des objets portés et ne peuvent pas se mouiller directement.",Pense à un accessoire vestimentaire.,true
psychotechnique,logique_verbale,Facile,Quel est l'antonyme de « heureux » ?,,"{""Triste"",""Content"",""Joyeux"",""Heureux""}",Triste,"« Triste » est l'antonyme de « heureux », représentant une absence de bonheur. Les mots « content », « joyeux » et « heureux » sont des synonymes d'état de satisfaction ou de bonheur.",Cherchez un état émotionnel opposé.,true
psychotechnique,logique_verbale,Moyenne,Quel est le synonyme de « achever » ?,,"{""Commencer"",""Conclure"",""Initier"",""Lancer""}",Conclure,"« Conclure » signifie finir quelque chose, ce qui en fait un synonyme d'« achever ». Au contraire, « commencer », « initier » et « lancer » sont des antonymes car ils marquent le début des actions.",Pensez à finir ce qui a été commencé.,true
