module;category;difficulty;sequence_text;prompt;options;answer;explanation;hint;is_active
psychotechnique;suites_logiques;Facile;1, 4, ?, 10, 13, 16;Quel terme manque ?;"[""7"", ""9"", ""8"", ""6""]";7;La règle est une progression arithmétique de +3. Le terme manquant est donc 7, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 4 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Progression arithmétique +3;true
psychotechnique;suites_logiques;Moyenne;B, D, ?, H, J, L;Quel terme manque ?;"[""G"", ""H"", ""E"", ""F""]";F;La règle décale chaque lettre de 2 positions dans l'alphabet. Le terme manquant est donc F, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « D ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Lettres avec saut de 2;true
psychotechnique;suites_logiques;Difficile;2, ?, 12, 20, 30, 42;Quel terme manque ?;"[""7"", ""6"", ""5"", ""8""]";6;La règle est la formule n² + n. Le terme manquant est donc 6, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 2 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;n² + n;true
psychotechnique;suites_logiques;Facile;1, 4, 9, 16, 25, ?;Quel terme manque ?;"[""38"", ""36"", ""37"", ""35""]";36;La règle est la suite des carrés parfaits. Le terme manquant est donc 36, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 25 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Carrés parfaits;true
psychotechnique;suites_logiques;Moyenne;7, 10, 15, 22, 31, ?;Quel terme manque ?;"[""43"", ""42"", ""47"", ""41""]";42;La règle repose sur des différences qui augmentent progressivement. Le terme manquant est donc 42, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 31 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Différences croissantes;true
psychotechnique;suites_logiques;Difficile;2, 6, 12, 20, ?, 42;Quel terme manque ?;"[""33"", ""31"", ""29"", ""30""]";30;La règle est la formule n² + n. Le terme manquant est donc 30, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 20 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;n² + n;true
psychotechnique;suites_logiques;Facile;2, 10, 50, 250, 1250, ?;Quel terme manque ?;"[""6250"", ""6249"", ""6251"", ""6253""]";6250;La règle est une multiplication par 5 à chaque étape. Le terme manquant est donc 6250, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 1250 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Multiplication par 5;true
psychotechnique;suites_logiques;Moyenne;2, 5, ?, 23, 47, 95;Quel terme manque ?;"[""10"", ""11"", ""13"", ""12""]";11;La règle est : multiplier par 2 puis ajouter 1. Le terme manquant est donc 11, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 5 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;×2 puis +1;true
psychotechnique;suites_logiques;Difficile;2, 3, 5, ?, 11, 13;Quel terme manque ?;"[""9"", ""8"", ""6"", ""7""]";7;La règle est la suite des nombres premiers. Le terme manquant est donc 7, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 5 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Nombres premiers;true
psychotechnique;suites_logiques;Facile;1, 4, ?, 16, 25, 36;Quel terme manque ?;"[""10"", ""8"", ""11"", ""9""]";9;La règle est la suite des carrés parfaits. Le terme manquant est donc 9, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 4 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Carrés parfaits;true
psychotechnique;suites_logiques;Moyenne;H, L, P, T, ?, \;Quel terme manque ?;"[""Z"", ""Y"", ""X"", ""W""]";X;La règle décale chaque lettre de 4 positions dans l'alphabet. Le terme manquant est donc X, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « T ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Lettres avec saut de 4;true
psychotechnique;suites_logiques;Difficile;1, 8, 27, 64, 125, ?;Quel terme manque ?;"[""216"", ""215"", ""217"", ""218""]";216;La règle est la suite des cubes parfaits. Le terme manquant est donc 216, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 125 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Cubes parfaits;true
psychotechnique;suites_logiques;Facile;55, 52, 49, ?, 43, 40;Quel terme manque ?;"[""47"", ""46"", ""51"", ""45""]";46;La règle est une soustraction constante de 3. Le terme manquant est donc 46, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 49 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;Soustraction constante -3;true
psychotechnique;suites_logiques;Moyenne;3, 7, ?, 31, 63, 127;Quel terme manque ?;"[""16"", ""15"", ""14"", ""18""]";15;La règle est : multiplier par 2 puis ajouter 1. Le terme manquant est donc 15, car on applique la même règle au voisinage du point d'interrogation. On peut vérifier la cohérence autour du terme précédent « 7 ». Le piège classique consiste à ne regarder qu'une différence locale et à oublier la règle globale de la suite.;×2 puis +1;true
