text_a;text_b;is_true;explanation;difficulty;is_active
Sarah Moreau, NY-558-KY, 92 avenue Victor-Hugo;Sarah Moreau, NY-558-KY, 92 avenue Victor-Hugo;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;easy;true
Signalement : Peugeot 308 gris, plaque TU-374-SU, vu le 27/06/2026 à 14h05.;Signalement : Peugeot 308 gris. plaque TU-374-SU, vu le 27/06/2026 à 14h05.;false;Les deux textes ne sont pas strictement identiques. Différence localisée : « , » a été remplacé par « . ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur rue des Acacias à Nîmes, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur rue des Acacias à Nîmes, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;hard;true
Mehdi Perrin, OO-893-PV, 94 avenue Victor-Hugo;Mehdi Perrin, OO-893-PV, 98 avenue Victor-Hugo;false;Les deux textes ne sont pas strictement identiques. Différence localisée au caractère 27 : « 4 » devient « 8 ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;easy;true
Signalement : Dacia Duster gris, plaque WB-639-QQ, vu le 18/07/2026 à 18h45.;Signalement : Dacia Duster gris, plaque WB-639-QQ, vu le 18/07/2026 à 18h45.;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur impasse du Moulin à Toulon, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal : le térnoin indique avoir vu un individu quitter le secteur impasse du Moulin à Toulon, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";false;Les deux textes ne sont pas strictement identiques. Différence localisée : « m » a été remplacé par « rn ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;hard;true
Nora Roche, EB-651-QP, 52 impasse du Moulin;Nora Roche, EB-651-QP, 52 impasse du Moulin;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;easy;true
Signalement : Dacia Duster blanc, plaque TA-931-ME, vu le 13/04/2026 à 7h45.;Signalement : Dacia Duster blanc, plaque TA-931-ME, vu le 13/O4/2026 à 7h45.;false;Les deux textes ne sont pas strictement identiques. Différence localisée : « 0 » a été remplacé par « O ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur avenue Victor-Hugo à Draguignan, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur avenue Victor-Hugo à Draguignan, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;hard;true
Sarah Dumas, NA-240-YE, 90 allée des Pins;Sarah Dumas, NA-240-YE, 90 Mllée des Pins;false;Les deux textes ne sont pas strictement identiques. Différence localisée au caractère 28 : « a » devient « M ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;easy;true
Signalement : Peugeot 308 bleu, plaque BP-219-NL, vu le 15/05/2026 à 13h15.;Signalement : Peugeot 308 bleu, plaque BP-219-NL, vu le 15/05/2026 à 13h15.;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur allée des Pins à Fréjus, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal :  le témoin indique avoir vu un individu quitter le secteur allée des Pins à Fréjus, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";false;Les deux textes ne sont pas strictement identiques. Différence localisée : «  l » a été remplacé par «   l ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;hard;true
Mehdi Lemoine, DZ-496-UY, 54 allée des Pins;Mehdi Lemoine, DZ-496-UY, 54 allée des Pins;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;easy;true
Signalement : Ford Focus blanc, plaque PL-365-UY, vu le 14/02/2026 à 20h30.;Signalement : Ford Focus blanc. plaque PL-365-UY, vu le 14/02/2026 à 20h30.;false;Les deux textes ne sont pas strictement identiques. Différence localisée : « , » a été remplacé par « . ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur allée des Pins à Nîmes, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur allée des Pins à Nîmes, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;hard;true
Élise Moreau, NN-806-YP, 25 boulevard Carnot;Élise Moreau, NN-806-Y7, 25 boulevard Carnot;false;Les deux textes ne sont pas strictement identiques. Différence localisée au caractère 23 : « P » devient « 7 ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;easy;true
Signalement : Renault Clio gris, plaque UF-596-BZ, vu le 15/09/2026 à 13h45.;Signalement : Renault Clio gris, plaque UF-596-BZ, vu le 15/09/2026 à 13h45.;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur boulevard Carnot à Nîmes, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal :  le témoin indique avoir vu un individu quitter le secteur boulevard Carnot à Nîmes, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";false;Les deux textes ne sont pas strictement identiques. Différence localisée : «  l » a été remplacé par «   l ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;hard;true
Hugo Bernier, TY-706-LV, 10 boulevard Carnot;Hugo Bernier, TY-706-LV, 10 boulevard Carnot;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;easy;true
Signalement : Peugeot 308 gris, plaque MD-731-YS, vu le 23/04/2026 à 20h15.;Signalement : Peugeot 308 gris. plaque MD-731-YS, vu le 23/04/2026 à 20h15.;false;Les deux textes ne sont pas strictement identiques. Différence localisée : « , » a été remplacé par « . ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur boulevard Carnot à Draguignan, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur boulevard Carnot à Draguignan, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;hard;true
Noam Roche, AF-766-RU, 99 avenue Victor-Hugo;Noam Roche, AF-766-RU, 99 avenue Victor-HQgo;false;Les deux textes ne sont pas strictement identiques. Différence localisée au caractère 42 : « u » devient « Q ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;easy;true
Signalement : Toyota Yaris noir, plaque DY-220-SL, vu le 16/09/2026 à 7h05.;Signalement : Toyota Yaris noir, plaque DY-220-SL, vu le 16/09/2026 à 7h05.;true;Les deux textes sont strictement identiques. Aucun mot, chiffre, accent, espace ou signe de ponctuation ne change entre la colonne de gauche et celle de droite. Le piège vient de la fatigue visuelle : la présence de chiffres, de noms propres et de ponctuation pousse souvent le candidat à imaginer une différence.;medium;true
"Procès-verbal : le témoin indique avoir vu un individu quitter le secteur avenue Victor-Hugo à Draguignan, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";"Procès-verbal : le térnoin indique avoir vu un individu quitter le secteur avenue Victor-Hugo à Draguignan, en direction du Nord, avec un sac sombre et une démarche rapide ; la déclaration a été relue puis signée sans réserve.";false;Les deux textes ne sont pas strictement identiques. Différence localisée : « m » a été remplacé par « rn ». Cette variation est volontairement proche visuellement du texte source. Un candidat peut se tromper en lisant trop vite, surtout lorsque l’œil se concentre sur le sens général au lieu de comparer caractère par caractère.;hard;true
