module;category;difficulty;question;prompt;image_url;figure_data;transformation_type;options;answer;explanation;hint;is_active
psychotechnique;rotations_symetries;Facile;Une rotation de 180° autour d'un point équivaut à quelle transformation ?;On compare deux transformations géométriques classiques.;;;symétrie centrale;"[{""key"": ""A"", ""label"": ""translation simple""}, {""key"": ""B"", ""label"": ""homothétie""}, {""key"": ""C"", ""label"": ""symétrie centrale""}, {""key"": ""D"", ""label"": ""symétrie axiale""}]";C;La transformation est une rotation de 180°. En géométrie plane, une rotation de 180° autour d'un centre correspond à une symétrie centrale. Le piège est de répondre symétrie axiale, qui inverse par rapport à une droite et non par rapport à un point.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Moyenne;Combien d'axes de symétrie possède un carré ?;On compte les axes qui superposent exactement la figure sur elle-même.;;;symétrie axiale;"[{""key"": ""A"", ""label"": ""2""}, {""key"": ""B"", ""label"": ""4""}, {""key"": ""C"", ""label"": ""1""}, {""key"": ""D"", ""label"": ""0""}]";B;La transformation étudiée est la symétrie axiale. Un carré possède 4 axe(s) de symétrie car seuls ces axes partagent la figure en deux parties superposables. Le piège est de compter des diagonales ou des médianes qui ne conservent pas toujours la figure.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Difficile;Que donne la rotation indiquée pour le chiffre 8 ?;Analyse d'une rotation autour du centre de la figure.;;;rotation;"[{""key"": ""A"", ""label"": ""il disparaît""}, {""key"": ""B"", ""label"": ""il devient 3""}, {""key"": ""C"", ""label"": ""il reste identique""}, {""key"": ""D"", ""label"": ""il devient 6""}]";C;La transformation est une rotation. Pour le chiffre 8, la réponse correcte est « il reste identique » car la figure conserve ou retrouve cette configuration après l'angle indiqué. Le piège est de confondre rotation et symétrie miroir.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Facile;Quel cube obtient-on après rotation de 90° du patron autour de son axe vertical, puis pliage ?;Patron de départ : six symboles distincts sur une croix de cube.;;"{""type"": ""cube_net"", ""layout"": ""L"", ""faces"": {""top"": ""A"", ""bottom"": ""B"", ""left"": ""C"", ""right"": ""D"", ""front"": ""E"", ""back"": ""F""}}";rotation;"[{""key"": ""A"", ""label"": ""Dessus B / face D / droite E"", ""folded"": {""description"": ""Dessus B / face D / droite E""}}, {""key"": ""B"", ""label"": ""Dessus A / face D / droite F"", ""folded"": {""description"": ""Dessus A / face D / droite F""}}, {""key"": ""C"", ""label"": ""Dessus A / face E / droite D"", ""folded"": {""description"": ""Dessus A / face E / droite D""}}, {""key"": ""D"", ""label"": ""Dessus A / face C / droite E"", ""folded"": {""description"": ""Dessus A / face C / droite E""}}]";B;La transformation est une rotation de 90° avant le pliage. La face du haut reste prise comme repère, tandis que les faces latérales tournent autour de l'axe vertical. Le piège est de plier d'abord le cube puis d'appliquer une rotation mentale dans le mauvais sens.;Fixer la face du haut puis tourner les faces autour d'elle.;true
psychotechnique;rotations_symetries;Moyenne;Une rotation de 180° autour d'un point équivaut à quelle transformation ?;On compare deux transformations géométriques classiques.;;;symétrie centrale;"[{""key"": ""A"", ""label"": ""symétrie axiale""}, {""key"": ""B"", ""label"": ""translation simple""}, {""key"": ""C"", ""label"": ""homothétie""}, {""key"": ""D"", ""label"": ""symétrie centrale""}]";D;La transformation est une rotation de 180°. En géométrie plane, une rotation de 180° autour d'un centre correspond à une symétrie centrale. Le piège est de répondre symétrie axiale, qui inverse par rapport à une droite et non par rapport à un point.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Difficile;Une rotation de 180° autour d'un point équivaut à quelle transformation ?;On compare deux transformations géométriques classiques.;;;symétrie centrale;"[{""key"": ""A"", ""label"": ""homothétie""}, {""key"": ""B"", ""label"": ""symétrie centrale""}, {""key"": ""C"", ""label"": ""translation simple""}, {""key"": ""D"", ""label"": ""symétrie axiale""}]";B;La transformation est une rotation de 180°. En géométrie plane, une rotation de 180° autour d'un centre correspond à une symétrie centrale. Le piège est de répondre symétrie axiale, qui inverse par rapport à une droite et non par rapport à un point.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Facile;Que donne la rotation indiquée pour une rotation de 360° ?;Analyse d'une rotation autour du centre de la figure.;;;rotation;"[{""key"": ""A"", ""label"": ""la figure initiale""}, {""key"": ""B"", ""label"": ""une symétrie verticale""}, {""key"": ""C"", ""label"": ""un quart de tour""}, {""key"": ""D"", ""label"": ""une figure inversée""}]";A;La transformation est une rotation. Pour une rotation de 360°, la réponse correcte est « la figure initiale » car la figure conserve ou retrouve cette configuration après l'angle indiqué. Le piège est de confondre rotation et symétrie miroir.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Moyenne;Que donne la rotation indiquée pour le chiffre 8 ?;Analyse d'une rotation autour du centre de la figure.;;;rotation;"[{""key"": ""A"", ""label"": ""il devient 6""}, {""key"": ""B"", ""label"": ""il reste identique""}, {""key"": ""C"", ""label"": ""il devient 3""}, {""key"": ""D"", ""label"": ""il disparaît""}]";B;La transformation est une rotation. Pour le chiffre 8, la réponse correcte est « il reste identique » car la figure conserve ou retrouve cette configuration après l'angle indiqué. Le piège est de confondre rotation et symétrie miroir.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Difficile;Quel cube obtient-on après rotation de 90° du patron autour de son axe vertical, puis pliage ?;Patron de départ : six symboles distincts sur une croix de cube.;;"{""type"": ""cube_net"", ""layout"": ""L"", ""faces"": {""top"": ""⚑"", ""bottom"": ""✚"", ""left"": ""☐"", ""right"": ""◇"", ""front"": ""○"", ""back"": ""△""}}";rotation;"[{""key"": ""A"", ""label"": ""Dessus ✚ / face ◇ / droite ○"", ""folded"": {""description"": ""Dessus ✚ / face ◇ / droite ○""}}, {""key"": ""B"", ""label"": ""Dessus ⚑ / face ○ / droite ◇"", ""folded"": {""description"": ""Dessus ⚑ / face ○ / droite ◇""}}, {""key"": ""C"", ""label"": ""Dessus ⚑ / face ◇ / droite △"", ""folded"": {""description"": ""Dessus ⚑ / face ◇ / droite △""}}, {""key"": ""D"", ""label"": ""Dessus ⚑ / face ☐ / droite ○"", ""folded"": {""description"": ""Dessus ⚑ / face ☐ / droite ○""}}]";C;La transformation est une rotation de 90° avant le pliage. La face du haut reste prise comme repère, tandis que les faces latérales tournent autour de l'axe vertical. Le piège est de plier d'abord le cube puis d'appliquer une rotation mentale dans le mauvais sens.;Fixer la face du haut puis tourner les faces autour d'elle.;true
psychotechnique;rotations_symetries;Facile;Combien d'axes de symétrie possède un hexagone régulier ?;On compte les axes qui superposent exactement la figure sur elle-même.;;;symétrie axiale;"[{""key"": ""A"", ""label"": ""8""}, {""key"": ""B"", ""label"": ""3""}, {""key"": ""C"", ""label"": ""4""}, {""key"": ""D"", ""label"": ""6""}]";D;La transformation étudiée est la symétrie axiale. Un hexagone régulier possède 6 axe(s) de symétrie car seuls ces axes partagent la figure en deux parties superposables. Le piège est de compter des diagonales ou des médianes qui ne conservent pas toujours la figure.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Moyenne;Quel cube obtient-on après rotation de 90° du patron autour de son axe vertical, puis pliage ?;Patron de départ : six symboles distincts sur une croix de cube.;;"{""type"": ""cube_net"", ""layout"": ""cross"", ""faces"": {""top"": ""★"", ""bottom"": ""●"", ""left"": ""◆"", ""right"": ""■"", ""front"": ""▲"", ""back"": ""▼""}}";rotation;"[{""key"": ""A"", ""label"": ""Dessus ● / face ■ / droite ▲"", ""folded"": {""description"": ""Dessus ● / face ■ / droite ▲""}}, {""key"": ""B"", ""label"": ""Dessus ★ / face ▲ / droite ■"", ""folded"": {""description"": ""Dessus ★ / face ▲ / droite ■""}}, {""key"": ""C"", ""label"": ""Dessus ★ / face ◆ / droite ▲"", ""folded"": {""description"": ""Dessus ★ / face ◆ / droite ▲""}}, {""key"": ""D"", ""label"": ""Dessus ★ / face ■ / droite ▼"", ""folded"": {""description"": ""Dessus ★ / face ■ / droite ▼""}}]";D;La transformation est une rotation de 90° avant le pliage. La face du haut reste prise comme repère, tandis que les faces latérales tournent autour de l'axe vertical. Le piège est de plier d'abord le cube puis d'appliquer une rotation mentale dans le mauvais sens.;Fixer la face du haut puis tourner les faces autour d'elle.;true
psychotechnique;rotations_symetries;Difficile;Quel cube obtient-on après rotation de 90° du patron autour de son axe vertical, puis pliage ?;Patron de départ : six symboles distincts sur une croix de cube.;;"{""type"": ""cube_net"", ""layout"": ""T"", ""faces"": {""top"": ""★"", ""bottom"": ""●"", ""left"": ""◆"", ""right"": ""■"", ""front"": ""▲"", ""back"": ""▼""}}";rotation;"[{""key"": ""A"", ""label"": ""Dessus ★ / face ■ / droite ▼"", ""folded"": {""description"": ""Dessus ★ / face ■ / droite ▼""}}, {""key"": ""B"", ""label"": ""Dessus ● / face ■ / droite ▲"", ""folded"": {""description"": ""Dessus ● / face ■ / droite ▲""}}, {""key"": ""C"", ""label"": ""Dessus ★ / face ◆ / droite ▲"", ""folded"": {""description"": ""Dessus ★ / face ◆ / droite ▲""}}, {""key"": ""D"", ""label"": ""Dessus ★ / face ▲ / droite ■"", ""folded"": {""description"": ""Dessus ★ / face ▲ / droite ■""}}]";A;La transformation est une rotation de 90° avant le pliage. La face du haut reste prise comme repère, tandis que les faces latérales tournent autour de l'axe vertical. Le piège est de plier d'abord le cube puis d'appliquer une rotation mentale dans le mauvais sens.;Fixer la face du haut puis tourner les faces autour d'elle.;true
psychotechnique;rotations_symetries;Facile;Combien d'axes de symétrie possède un carré ?;On compte les axes qui superposent exactement la figure sur elle-même.;;;symétrie axiale;"[{""key"": ""A"", ""label"": ""2""}, {""key"": ""B"", ""label"": ""1""}, {""key"": ""C"", ""label"": ""4""}, {""key"": ""D"", ""label"": ""0""}]";C;La transformation étudiée est la symétrie axiale. Un carré possède 4 axe(s) de symétrie car seuls ces axes partagent la figure en deux parties superposables. Le piège est de compter des diagonales ou des médianes qui ne conservent pas toujours la figure.;Identifier d'abord le type de transformation.;true
psychotechnique;rotations_symetries;Moyenne;Combien d'axes de symétrie possède un rectangle non carré ?;On compte les axes qui superposent exactement la figure sur elle-même.;;;symétrie axiale;"[{""key"": ""A"", ""label"": ""4""}, {""key"": ""B"", ""label"": ""2""}, {""key"": ""C"", ""label"": ""1""}, {""key"": ""D"", ""label"": ""0""}]";B;La transformation étudiée est la symétrie axiale. Un rectangle non carré possède 2 axe(s) de symétrie car seuls ces axes partagent la figure en deux parties superposables. Le piège est de compter des diagonales ou des médianes qui ne conservent pas toujours la figure.;Identifier d'abord le type de transformation.;true
