module,category,difficulty,question,prompt,stimulus,options,answer,explanation,hint,is_active
psychotechnique,concentration,Facile,Combien de fois la lettre « B » apparaît-elle dans la phrase (en majuscule ou minuscule) ?,Comptez attentivement.,Bobby adore les biscuits et les bonbons.,"{""2"",""3"",""4"",""5""}",4,"Dans la phrase, nous trouvons « Bobby » (2), « biscuits » (1) et « bonbons » (1), ce qui fait un total de 4 B. Attention, le B de Bobby est compté deux fois.",Regarde chaque mot contenant un B.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans cette séquence ?,Identifiez l'intrus par rapport à l'ordre alphabétique.,A C E F G I K,"{""E"",""F"",""G"",""I""}",F,"La séquence suit l'ordre alterné de l'alphabet : A (1), C (3), E (5). F (6) ne suit pas cette alternance, alors que G aurait dû être suivi de I.",Concentrez-vous sur l'ordre alterné des lettres.,true
psychotechnique,concentration,Facile,Combien de chiffres « 2 » apparaissent dans la suite ?,Comptez ce qui est visible.,1 2 5 2 8 9 0 2 4 2,"{""2"",""3"",""4"",""5""}",4,"Positions 2, 4, 8, 10. Chaque « 2 » est séparé par d'autres chiffres pour distraire le comptage.",Repère chaque 2 parmi les chiffres.,true
psychotechnique,concentration,Facile,Combien de fois la lettre « P » majuscule apparaît-elle dans cette phrase ?,Recherchez exclusivement les P majuscules.,Le Pompier a Préparé les PLANS pour la Probabilité.,"{""3"",""4"",""5"",""6""}",3,"Les P majuscules apparaissent dans « Pompier » (1), « Préparé » (1), et « PLANS » (1), formant un total de 3 P majuscules.",Ne vous laissez pas distraire par les p minuscules.,true
psychotechnique,concentration,Facile,Quels chiffres forment une paire parmi la suite suivante ?,Une seule paire identique est présente.,3 5 7 8 7 9,"{""3"",""5"",""7"",""9""}",7,"La seule paire de chiffres identiques dans la séquence est 7, aux positions 3 et 5.",Cherchez un chiffre qui se répète.,true
psychotechnique,concentration,Facile,Combien de chiffres impairs trouve-t-on dans cette suite ?,,1 4 3 6 5 8 7,"{""3"",""4"",""5"",""6""}",4,"Dans la suite, les chiffres impairs sont 1, 3, 5, et 7, ce qui inclut quatre occurrences.",Repérez les chiffres qui ne se divisent pas par 2.,true
psychotechnique,concentration,Facile,Quelle séquence est l'intrus parmi ces chiffres ?,Cherchez le chiffre qui ne suit pas la série.,"10, 20, 30, 35, 40","{""10"",""20"",""30"",""35""}",35,"La séquence suit des multiples de 10 : 10, 20, 30, 40, et le 35 n'en est pas un.",Pensez aux multiples de dix.,true
psychotechnique,concentration,Facile,Combien de majuscules y a-t-il dans cette phrase ?,Considérer uniquement les majuscules.,"Aujourd'hui, La Pluie Tombe Sur Paris.","{""5"",""6"",""7"",""8""}",6,"Les majuscules sont A (1), L (1), P (1), T (1), S (1), P (1), formant un total de 6 majuscules dans la phrase.",Surlignez mentalement les majuscules.,true
psychotechnique,concentration,Facile,Quelle lettre est l'intrus dans cette suite ?,Identifiez la lettre qui est différente des autres par sa position.,D F H J M N,"{""F"",""J"",""M"",""N""}",N,"La suite suit les consonnes situées en position impaire dans l'alphabet : D (4), F (6), H (8), J (10), M (13), mais N (14) brise cette logique.",Vérifiez la position de chaque lettre dans l'alphabet.,true
psychotechnique,concentration,Facile,Combien de chiffres « 4 » apparaissent dans cette suite ?,,2 4 5 4 7 4 9 0,"{""2"",""3"",""4"",""5""}",3,"Les 4 apparaissent aux positions 2, 4, et 6, totalisant trois occurrences dans la séquence.",Concentrez-vous sur les positions paires.,true
